cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2024-05,0.0664,0.0487,0.0619,0.0531,0.1327,0.0708,0.1018,0.1018,0.0398,0.0708,0.0885,0.0752,0.0619,0.0354,0.0265,0.0796,0.0929,0.0664,0.0885,0.0796,,,,,,,,,,,,,,,,
2024-06,0.0269,0.0591,0.0753,0.0806,0.0753,0.1183,0.1344,0.0484,0.0699,0.0806,0.0914,0.1022,0.0645,0.0538,0.1022,0.086,0.0645,0.0699,0.0968,,,,,,,,,,,,,,,,,
2024-07,0.1068,0.0971,0.1068,0.0922,0.1165,0.1019,0.0631,0.0922,0.1019,0.0534,0.0534,0.0728,0.0777,0.0631,0.0825,0.0583,0.1068,0.1117,,,,,,,,,,,,,,,,,,
2024-08,0.0457,0.0776,0.0502,0.1005,0.0685,0.0731,0.032,0.0639,0.0731,0.0457,0.0502,0.0594,0.0822,0.0868,0.0228,0.1142,0.0594,,,,,,,,,,,,,,,,,,,
2024-09,0.0615,0.095,0.0894,0.1006,0.0726,0.0503,0.0726,0.0782,0.0559,0.0782,0.0559,0.067,0.0894,0.1006,0.095,0.1061,,,,,,,,,,,,,,,,,,,,
2024-10,0.0933,0.0725,0.0933,0.1036,0.0518,0.0674,0.0622,0.0829,0.0363,0.057,0.0933,0.0674,0.0466,0.0984,0.0984,,,,,,,,,,,,,,,,,,,,,
2024-11,0.1304,0.1033,0.0489,0.0598,0.087,0.0815,0.087,0.0652,0.087,0.0543,0.0815,0.0598,0.1033,0.0924,,,,,,,,,,,,,,,,,,,,,,
2024-12,0.1307,0.0511,0.0739,0.0511,0.0739,0.0966,0.1023,0.0511,0.0966,0.0739,0.0909,0.0852,0.125,,,,,,,,,,,,,,,,,,,,,,,
2025-01,0.04,0.0914,0.0914,0.0629,0.0857,0.0571,0.0457,0.0971,0.1143,0.08,0.0857,0.1029,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,0.0655,0.0595,0.1012,0.0833,0.0536,0.0774,0.0833,0.0893,0.0417,0.1369,0.1071,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03,0.0943,0.0755,0.0849,0.0708,0.066,0.1085,0.0708,0.1038,0.0849,0.0896,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04,0.0392,0.0441,0.0784,0.0588,0.0588,0.0833,0.0539,0.1176,0.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,0.0529,0.0433,0.0529,0.0865,0.0817,0.0433,0.1346,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06,0.0457,0.0743,0.0286,0.0686,0.0743,0.08,0.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,0.0419,0.0698,0.0744,0.0512,0.0977,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08,0.0862,0.069,0.0632,0.0977,0.1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09,0.1076,0.0949,0.1013,0.0759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,0.0749,0.0969,0.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11,0.1243,0.0757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12,0.1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
