payment_id,order_id,payment_date,payment_method,payment_status,payment_amount
PAY700050,ORD500050,2023-01-03 23:41:00,Credit Card,Success,89.0
PAY700051,ORD500051,2023-01-04 01:40:00,Debit Card,Success,128.51
PAY700052,ORD500052,2023-01-04 00:50:00,PayPal,Success,68.44
PAY700053,ORD500053,2023-01-04 03:22:00,Debit Card,Success,173.19
PAY700054,ORD500054,2023-01-04 01:32:00,Debit Card,Refunded,313.91
PAY700055,ORD500055,2023-01-04 03:20:00,Credit Card,Success,149.74
PAY700056,ORD500056,2023-01-04 01:24:00,Buy Now Pay Later,Success,45.11
PAY700057,ORD500057,2023-01-04 02:51:00,Buy Now Pay Later,Success,24.71
PAY700058,ORD500058,2023-01-04 01:14:00,Debit Card,Success,26.37
PAY700059,ORD500059,2023-01-04 02:08:00,Credit Card,Success,294.69
PAY700060,ORD500060,2023-01-04 05:07:00,Debit Card,Success,204.96
PAY700061,ORD500061,2023-01-04 07:59:00,Debit Card,Success,158.85
PAY700062,ORD500062,2023-01-04 07:24:00,Credit Card,Success,214.85
PAY700063,ORD500063,2023-01-04 04:41:00,Gift Card,Success,166.77
PAY700064,ORD500064,2023-01-04 08:05:00,Debit Card,Success,121.26
PAY700065,ORD500065,2023-01-04 08:09:00,PayPal,Success,21.52
PAY700066,ORD500066,2023-01-04 10:09:00,Credit Card,Success,293.81
PAY700067,ORD500067,2023-01-04 13:33:00,PayPal,Success,341.92
PAY700068,ORD500068,2023-01-04 13:28:00,Credit Card,Success,260.5
PAY700069,ORD500069,2023-01-04 11:14:00,Credit Card,Success,517.39
PAY700070,ORD500070,2023-01-04 18:43:00,Buy Now Pay Later,Success,490.85
PAY700071,ORD500071,2023-01-04 17:42:00,PayPal,Success,106.99
PAY700072,ORD500072,2023-01-04 18:23:00,Credit Card,Success,162.48
PAY700073,ORD500073,2023-01-04 17:50:00,Buy Now Pay Later,Refunded,76.15
PAY700074,ORD500074,2023-01-04 21:53:00,Gift Card,Success,115.39
PAY700075,ORD500075,2023-01-04 21:01:00,Credit Card,Success,268.72
PAY700076,ORD500076,2023-01-04 20:08:00,Credit Card,Success,287.03
PAY700077,ORD500077,2023-01-04 21:18:00,Credit Card,Success,324.13
PAY700078,ORD500078,2023-01-05 01:03:00,Debit Card,Success,111.22
PAY700079,ORD500079,2023-01-05 00:44:00,Debit Card,Success,47.53
PAY700080,ORD500080,2023-01-04 23:17:00,Credit Card,Success,351.37
PAY700081,ORD500081,2023-01-05 01:01:00,Credit Card,Success,66.91
PAY700082,ORD500082,2023-01-05 05:08:00,PayPal,Refunded,85.0
PAY700083,ORD500083,2023-01-05 02:59:00,Credit Card,Success,56.93
PAY700084,ORD500084,2023-01-05 07:25:00,Buy Now Pay Later,Failed,122.04
PAY700085,ORD500085,2023-01-05 09:36:00,Credit Card,Success,511.15
PAY700086,ORD500086,2023-01-05 10:41:00,Debit Card,Success,189.51
PAY700087,ORD500087,2023-01-05 15:22:00,Credit Card,Failed,207.51
PAY700088,ORD500088,2023-01-05 16:40:00,Credit Card,Success,214.85
PAY700089,ORD500089,2023-01-05 16:07:00,Debit Card,Success,86.17
PAY700090,ORD500090,2023-01-05 14:35:00,Debit Card,Success,371.54
PAY700091,ORD500091,2023-01-05 19:33:00,Debit Card,Success,295.77
PAY700092,ORD500092,2023-01-05 20:35:00,PayPal,Success,84.99
PAY700093,ORD500093,2023-01-05 21:26:00,Credit Card,Success,252.84
PAY700094,ORD500094,2023-01-06 01:51:00,Debit Card,Success,56.93
PAY700095,ORD500095,2023-01-06 01:30:00,Credit Card,Success,118.78
PAY700096,ORD500096,2023-01-06 03:04:00,Buy Now Pay Later,Success,327.81
PAY700097,ORD500097,2023-01-06 02:03:00,Debit Card,Success,207.51
PAY700098,ORD500098,2023-01-06 05:27:00,Credit Card,Success,292.7
PAY700099,ORD500099,2023-01-06 12:05:00,PayPal,Success,49.6
PAY700100,ORD500100,2023-01-06 14:01:00,Credit Card,Failed,320.79
PAY700101,ORD500101,2023-01-06 11:31:00,Credit Card,Success,88.51
PAY700102,ORD500102,2023-01-06 13:33:00,PayPal,Success,68.56
PAY700103,ORD500103,2023-01-06 15:42:00,Buy Now Pay Later,Success,21.99
PAY700104,ORD500104,2023-01-06 16:05:00,PayPal,Success,36.56
PAY700105,ORD500105,2023-01-06 13:45:00,PayPal,Refunded,143.79
PAY700106,ORD500106,2023-01-06 16:47:00,PayPal,Success,319.86
PAY700107,ORD500107,2023-01-06 21:17:00,Debit Card,Failed,129.55
PAY700108,ORD500108,2023-01-06 23:03:00,Debit Card,Success,92.49
PAY700109,ORD500109,2023-01-07 00:14:00,Credit Card,Success,26.64
PAY700110,ORD500110,2023-01-07 01:54:00,PayPal,Success,259.24
PAY700111,ORD500111,2023-01-07 06:43:00,PayPal,Success,671.56
PAY700112,ORD500112,2023-01-07 06:06:00,Credit Card,Success,198.85
PAY700113,ORD500113,2023-01-07 06:08:00,Credit Card,Success,68.9
PAY700114,ORD500114,2023-01-07 06:48:00,PayPal,Success,130.19
PAY700115,ORD500115,2023-01-07 06:51:00,Credit Card,Failed,159.99
PAY700116,ORD500116,2023-01-07 07:56:00,Debit Card,Success,118.79
PAY700117,ORD500117,2023-01-07 11:07:00,Credit Card,Success,152.99
PAY700118,ORD500118,2023-01-07 09:02:00,Buy Now Pay Later,Refunded,170.93
PAY700119,ORD500119,2023-01-07 09:48:00,Debit Card,Success,546.73
PAY700120,ORD500120,2023-01-07 14:06:00,Debit Card,Success,523.04
PAY700121,ORD500121,2023-01-07 14:37:00,Credit Card,Success,53.08
PAY700122,ORD500122,2023-01-07 20:39:00,Credit Card,Success,345.54
PAY700123,ORD500123,2023-01-07 16:39:00,Credit Card,Success,76.04
PAY700124,ORD500124,2023-01-07 19:48:00,PayPal,Success,40.3
PAY700125,ORD500125,2023-01-07 16:02:00,Credit Card,Success,64.71
PAY700126,ORD500126,2023-01-07 20:18:00,Debit Card,Success,80.04
PAY700127,ORD500127,2023-01-07 20:24:00,Buy Now Pay Later,Success,33.64
PAY700128,ORD500128,2023-01-07 22:49:00,Credit Card,Success,400.9
PAY700129,ORD500129,2023-01-08 01:30:00,Credit Card,Success,134.13
PAY700130,ORD500130,2023-01-07 22:45:00,PayPal,Success,221.71
PAY700131,ORD500131,2023-01-07 22:46:00,Credit Card,Success,39.65
PAY700132,ORD500132,2023-01-08 04:48:00,Credit Card,Success,204.48
PAY700133,ORD500133,2023-01-08 00:51:00,Gift Card,Success,17.9
PAY700134,ORD500134,2023-01-08 02:49:00,Debit Card,Refunded,36.54
PAY700135,ORD500135,2023-01-08 06:52:00,Credit Card,Success,213.7
PAY700136,ORD500136,2023-01-08 04:04:00,Credit Card,Success,38.15
PAY700137,ORD500137,2023-01-08 08:41:00,Credit Card,Success,45.98
PAY700138,ORD500138,2023-01-08 09:25:00,Credit Card,Failed,80.2
PAY700139,ORD500139,2023-01-08 13:55:00,Debit Card,Success,244.08
PAY700140,ORD500140,2023-01-08 16:19:00,Credit Card,Success,225.95
PAY700141,ORD500141,2023-01-08 16:21:00,Credit Card,Success,214.85
PAY700142,ORD500142,2023-01-08 18:18:00,Credit Card,Failed,249.01
PAY700143,ORD500143,2023-01-08 16:56:00,Debit Card,Refunded,99.43
PAY700144,ORD500144,2023-01-08 16:35:00,Debit Card,Refunded,100.79
PAY700145,ORD500145,2023-01-08 16:59:00,Unknown,Success,123.89
PAY700146,ORD500146,2023-01-08 17:42:00,Buy Now Pay Later,Success,316.28
PAY700147,ORD500147,2023-01-08 18:13:00,Credit Card,Success,0.0
PAY700148,ORD500148,2023-01-08 17:32:00,Debit Card,Refunded,89.62
PAY700149,ORD500149,2023-01-08 18:22:00,Buy Now Pay Later,Success,56.65
PAY700150,ORD500150,2023-01-08 21:45:00,PayPal,Success,622.53
PAY700151,ORD500151,2023-01-08 22:21:00,Buy Now Pay Later,Failed,188.36
PAY700152,ORD500152,2023-01-08 19:40:00,Credit Card,Success,166.35
PAY700153,ORD500153,2023-01-09 03:30:00,Credit Card,Success,84.99
PAY700154,ORD500154,2023-01-09 03:55:00,Debit Card,Success,395.57
PAY700155,ORD500155,2023-01-09 04:05:00,Buy Now Pay Later,Success,255.83
PAY700156,ORD500156,2023-01-09 01:12:00,Credit Card,Success,452.97
PAY700157,ORD500157,2023-01-09 05:25:00,Debit Card,Success,54.47
PAY700158,ORD500158,2023-01-09 06:08:00,Credit Card,Success,184.58
PAY700159,ORD500159,2023-01-09 04:23:00,Debit Card,Success,259.37
PAY700160,ORD500160,2023-01-09 07:24:00,Unknown,Failed,64.71
PAY700161,ORD500161,2023-01-09 03:25:00,Debit Card,Success,246.96
PAY700162,ORD500162,2023-01-09 07:24:00,Gift Card,Success,177.26
PAY700163,ORD500163,2023-01-09 09:45:00,Credit Card,Success,234.7
PAY700164,ORD500164,2023-01-09 11:17:00,PayPal,Refunded,41.4
PAY700165,ORD500165,2023-01-09 09:33:00,PayPal,Success,148.09
PAY700166,ORD500166,2023-01-09 10:13:00,Credit Card,Success,821.61
PAY700167,ORD500167,2023-01-09 12:11:00,Debit Card,Failed,184.46
PAY700168,ORD500168,2023-01-09 12:20:00,Credit Card,Success,185.55
PAY700169,ORD500169,2023-01-09 16:55:00,Credit Card,Success,117.65
PAY700170,ORD500170,2023-01-09 18:17:00,Debit Card,Failed,83.11
PAY700171,ORD500171,2023-01-09 19:33:00,Gift Card,Success,237.8
PAY700172,ORD500172,2023-01-09 16:36:00,Buy Now Pay Later,Success,269.69
PAY700173,ORD500173,2023-01-09 18:00:00,Credit Card,Success,89.0
PAY700174,ORD500174,2023-01-09 20:22:00,Credit Card,Success,270.54
PAY700175,ORD500175,2023-01-09 15:24:00,Buy Now Pay Later,Refunded,30.26
PAY700176,ORD500176,2023-01-09 18:56:00,PayPal,Success,119.96
PAY700177,ORD500177,2023-01-09 19:26:00,PayPal,Success,404.4
PAY700178,ORD500178,2023-01-09 22:46:00,Debit Card,Success,425.85
PAY700179,ORD500179,2023-01-09 18:56:00,Credit Card,Success,135.23
PAY700180,ORD500180,2023-01-09 22:50:00,Credit Card,Success,89.0
PAY700181,ORD500181,2023-01-09 23:21:00,Credit Card,Success,227.63
PAY700182,ORD500182,2023-01-10 02:32:00,Debit Card,Success,159.99
PAY700183,ORD500183,2023-01-10 00:48:00,Credit Card,Success,171.85
PAY700184,ORD500184,2023-01-10 07:09:00,Debit Card,Success,381.43
PAY700185,ORD500185,2023-01-10 04:16:00,Credit Card,Success,133.02
PAY700186,ORD500186,2023-01-10 07:23:00,PayPal,Failed,84.18
PAY700187,ORD500187,2023-01-10 06:08:00,Credit Card,Success,73.03
PAY700188,ORD500188,2023-01-10 08:15:00,Gift Card,Failed,88.29
PAY700189,ORD500189,2023-01-10 11:09:00,Gift Card,Success,72.86
PAY700190,ORD500190,2023-01-10 13:14:00,Debit Card,Success,66.51
PAY700191,ORD500191,2023-01-10 11:53:00,Credit Card,Success,350.69
PAY700192,ORD500192,2023-01-10 15:56:00,Debit Card,Success,384.43
PAY700193,ORD500193,2023-01-10 16:57:00,Credit Card,Success,88.29
PAY700194,ORD500194,2023-01-10 14:11:00,Credit Card,Success,860.3
PAY700195,ORD500195,2023-01-10 13:35:00,Credit Card,Success,89.62
PAY700196,ORD500196,2023-01-10 18:22:00,PayPal,Success,37.95
PAY700197,ORD500197,2023-01-10 18:17:00,PayPal,Success,97.94
PAY700198,ORD500198,2023-01-10 16:17:00,Credit Card,Success,111.45
PAY700199,ORD500199,2023-01-10 16:55:00,PayPal,Success,255.21
PAY700200,ORD500200,2023-01-10 18:45:00,Buy Now Pay Later,Success,211.71
PAY700201,ORD500201,2023-01-10 21:18:00,Debit Card,Success,183.11
PAY700202,ORD500202,2023-01-10 22:27:00,PayPal,Success,313.19
PAY700203,ORD500203,2023-01-10 23:12:00,Credit Card,Success,32.45
PAY700204,ORD500204,2023-01-10 23:18:00,Buy Now Pay Later,Success,151.38
PAY700205,ORD500205,2023-01-10 23:35:00,Credit Card,Success,100.79
PAY700206,ORD500206,2023-01-10 22:29:00,Credit Card,Success,203.46
PAY700207,ORD500207,2023-01-11 03:02:00,Credit Card,Success,112.28
PAY700208,ORD500208,2023-01-11 05:12:00,Credit Card,Failed,108.53
PAY700209,ORD500209,2023-01-11 01:12:00,Credit Card,Success,148.43
PAY700210,ORD500210,2023-01-11 06:48:00,PayPal,Success,185.55
PAY700211,ORD500211,2023-01-11 03:03:00,Credit Card,Success,79.75
PAY700212,ORD500212,2023-01-11 05:42:00,Debit Card,Refunded,220.05
PAY700213,ORD500213,2023-01-11 05:48:00,Credit Card,Success,47.6
PAY700214,ORD500214,2023-01-11 05:25:00,Credit Card,Success,241.53
PAY700215,ORD500215,2023-01-11 08:52:00,Buy Now Pay Later,Success,41.01
PAY700216,ORD500216,2023-01-11 08:29:00,Debit Card,Success,132.2
PAY700217,ORD500217,2023-01-11 06:46:00,Debit Card,Success,503.97
PAY700218,ORD500218,2023-01-11 06:55:00,Buy Now Pay Later,Success,133.82
PAY700219,ORD500219,2023-01-11 09:02:00,Credit Card,Success,285.61
PAY700220,ORD500220,2023-01-11 10:18:00,Buy Now Pay Later,Refunded,79.75
PAY700221,ORD500221,2023-01-11 09:29:00,Credit Card,Success,111.18
PAY700222,ORD500222,2023-01-11 11:58:00,Credit Card,Refunded,190.21
PAY700223,ORD500223,2023-01-11 11:20:00,PayPal,Success,295.71
PAY700224,ORD500224,2023-01-11 13:14:00,Credit Card,Success,152.0
PAY700225,ORD500225,2023-01-11 15:55:00,Credit Card,Success,0.0
PAY700226,ORD500226,2023-01-11 13:09:00,PayPal,Success,176.58
PAY700227,ORD500227,2023-01-11 15:17:00,Gift Card,Success,132.2
PAY700228,ORD500228,2023-01-11 14:57:00,Debit Card,Success,228.58
PAY700229,ORD500229,2023-01-11 14:04:00,Credit Card,Success,131.59
PAY700230,ORD500230,2023-01-11 15:13:00,Debit Card,Success,152.62
PAY700231,ORD500231,2023-01-11 16:26:00,Credit Card,Success,96.5
PAY700232,ORD500232,2023-01-11 18:45:00,Credit Card,Success,66.91
PAY700233,ORD500233,2023-01-11 20:03:00,Gift Card,Refunded,281.74
PAY700234,ORD500234,2023-01-11 19:18:00,PayPal,Success,46.0
PAY700235,ORD500235,2023-01-11 19:22:00,Credit Card,Failed,243.35
PAY700236,ORD500236,2023-01-11 23:16:00,Credit Card,Success,255.72
PAY700237,ORD500237,2023-01-12 00:27:00,Credit Card,Success,63.77
PAY700238,ORD500238,2023-01-12 01:14:00,Credit Card,Success,326.87
PAY700239,ORD500239,2023-01-12 02:01:00,PayPal,Success,288.09
PAY700240,ORD500240,2023-01-11 21:56:00,Buy Now Pay Later,Failed,66.91
PAY700241,ORD500241,2023-01-12 01:06:00,Buy Now Pay Later,Success,605.56
PAY700242,ORD500242,2023-01-12 02:52:00,Credit Card,Failed,279.5
PAY700243,ORD500243,2023-01-12 04:26:00,Debit Card,Success,123.56
PAY700244,ORD500244,2023-01-12 00:33:00,Unknown,Success,297.03
PAY700245,ORD500245,2023-01-12 00:34:00,Debit Card,Success,86.17
PAY700246,ORD500246,2023-01-12 04:38:00,Credit Card,Failed,163.82
PAY700247,ORD500247,2023-01-12 05:33:00,Debit Card,Success,73.92
PAY700248,ORD500248,2023-01-12 04:55:00,Credit Card,Success,307.78
PAY700249,ORD500249,2023-01-12 02:49:00,Debit Card,Success,143.88
PAY700250,ORD500250,2023-01-12 03:41:00,Credit Card,Success,16.48
PAY700251,ORD500251,2023-01-12 03:58:00,Credit Card,Refunded,111.09
PAY700252,ORD500252,2023-01-12 04:18:00,PayPal,Success,66.91
PAY700253,ORD500253,2023-01-12 04:54:00,Credit Card,Success,210.43
PAY700254,ORD500254,2023-01-12 10:06:00,Credit Card,Success,128.51
PAY700255,ORD500255,2023-01-12 10:31:00,PayPal,Success,50.96
PAY700256,ORD500256,2023-01-12 11:57:00,Buy Now Pay Later,Success,103.45
PAY700257,ORD500257,2023-01-12 11:37:00,Credit Card,Success,447.69
PAY700258,ORD500258,2023-01-12 08:39:00,Debit Card,Success,60.59
PAY700259,ORD500259,2023-01-12 09:23:00,Debit Card,Success,139.48
PAY700260,ORD500260,2023-01-12 14:51:00,PayPal,Failed,273.97
PAY700261,ORD500261,2023-01-12 13:38:00,Debit Card,Success,228.22
PAY700262,ORD500262,2023-01-12 14:49:00,Debit Card,Success,128.51
PAY700263,ORD500263,2023-01-12 13:03:00,Credit Card,Success,14.83
PAY700264,ORD500264,2023-01-12 17:44:00,Debit Card,Success,46.81
PAY700265,ORD500265,2023-01-12 14:32:00,Credit Card,Success,498.59
PAY700266,ORD500266,2023-01-12 16:46:00,PayPal,Success,244.63
PAY700267,ORD500267,2023-01-12 16:10:00,Credit Card,Success,22.55
PAY700268,ORD500268,2023-01-12 16:20:00,Debit Card,Failed,39.92
PAY700269,ORD500269,2023-01-12 19:27:00,Credit Card,Failed,89.0
PAY700270,ORD500270,2023-01-12 17:12:00,Unknown,Success,185.77
PAY700271,ORD500271,2023-01-12 18:19:00,Gift Card,Success,61.33
PAY700272,ORD500272,2023-01-12 20:20:00,PayPal,Success,173.49
PAY700273,ORD500273,2023-01-12 22:50:00,Credit Card,Success,122.04
PAY700274,ORD500274,2023-01-12 23:01:00,Debit Card,Failed,229.71
PAY700275,ORD500275,2023-01-12 21:56:00,Credit Card,Failed,227.14
PAY700276,ORD500276,2023-01-12 22:37:00,Credit Card,Success,129.55
PAY700277,ORD500277,2023-01-13 00:02:00,PayPal,Success,324.5
PAY700278,ORD500278,2023-01-13 02:33:00,Credit Card,Success,335.6
PAY700279,ORD500279,2023-01-12 23:48:00,Gift Card,Success,329.15
PAY700280,ORD500280,2023-01-13 02:14:00,Credit Card,Success,89.0
PAY700281,ORD500281,2023-01-13 06:12:00,Credit Card,Success,89.0
PAY700282,ORD500282,2023-01-13 06:34:00,Debit Card,Success,388.65
PAY700283,ORD500283,2023-01-13 04:45:00,Credit Card,Refunded,140.87
PAY700284,ORD500284,2023-01-13 01:50:00,Credit Card,Success,217.81
PAY700285,ORD500285,2023-01-13 02:56:00,Credit Card,Success,39.81
PAY700286,ORD500286,2023-01-13 04:24:00,Credit Card,Success,89.0
PAY700287,ORD500287,2023-01-13 06:39:00,Buy Now Pay Later,Success,82.81
PAY700288,ORD500288,2023-01-13 07:51:00,Gift Card,Success,127.4
PAY700289,ORD500289,2023-01-13 12:01:00,Credit Card,Refunded,60.04
PAY700290,ORD500290,2023-01-13 09:14:00,Debit Card,Success,344.58
PAY700291,ORD500291,2023-01-13 11:21:00,Credit Card,Success,220.54
PAY700292,ORD500292,2023-01-13 12:21:00,Gift Card,Success,169.37
PAY700293,ORD500293,2023-01-13 13:51:00,PayPal,Success,130.86
PAY700294,ORD500294,2023-01-13 13:05:00,Debit Card,Success,513.08
PAY700295,ORD500295,2023-01-13 12:58:00,PayPal,Success,219.51
PAY700296,ORD500296,2023-01-13 18:11:00,Credit Card,Success,515.5
PAY700297,ORD500297,2023-01-13 18:54:00,PayPal,Success,64.66
PAY700298,ORD500298,2023-01-13 17:43:00,Gift Card,Failed,301.64
PAY700299,ORD500299,2023-01-13 18:47:00,Credit Card,Success,221.84
PAY700300,ORD500300,2023-01-13 19:41:00,PayPal,Success,415.02
PAY700301,ORD500301,2023-01-13 21:50:00,Gift Card,Success,132.2
PAY700302,ORD500302,2023-01-13 20:55:00,Credit Card,Success,452.92
PAY700303,ORD500303,2023-01-13 20:43:00,Credit Card,Success,234.33
PAY700304,ORD500304,2023-01-13 17:54:00,Gift Card,Success,56.04
PAY700305,ORD500305,2023-01-13 22:46:00,Credit Card,Success,382.41
PAY700306,ORD500306,2023-01-13 23:58:00,Credit Card,Refunded,78.32
PAY700307,ORD500307,2023-01-13 23:21:00,Gift Card,Success,150.9
PAY700308,ORD500308,2023-01-13 21:22:00,Buy Now Pay Later,Success,63.24
PAY700309,ORD500309,2023-01-13 22:23:00,Credit Card,Success,183.8
PAY700310,ORD500310,2023-01-13 23:55:00,Debit Card,Refunded,21.02
PAY700311,ORD500311,2023-01-14 02:14:00,Buy Now Pay Later,Success,136.55
PAY700312,ORD500312,2023-01-13 23:40:00,Debit Card,Success,172.34
PAY700313,ORD500313,2023-01-14 00:48:00,Debit Card,Success,155.63
PAY700314,ORD500314,2023-01-14 02:10:00,Credit Card,Failed,0.0
PAY700315,ORD500315,2023-01-14 04:21:00,PayPal,Success,212.95
PAY700316,ORD500316,2023-01-14 07:30:00,Credit Card,Refunded,177.84
PAY700317,ORD500317,2023-01-14 03:57:00,Credit Card,Success,70.73
PAY700318,ORD500318,2023-01-14 05:06:00,Credit Card,Success,64.71
PAY700319,ORD500319,2023-01-14 08:13:00,Credit Card,Refunded,68.14
PAY700320,ORD500320,2023-01-14 09:38:00,Credit Card,Success,72.18
PAY700321,ORD500321,2023-01-14 07:31:00,Buy Now Pay Later,Success,170.3
PAY700322,ORD500322,2023-01-14 06:36:00,PayPal,Success,325.45
PAY700323,ORD500323,2023-01-14 10:47:00,Debit Card,Failed,159.5
PAY700324,ORD500324,2023-01-14 10:01:00,Debit Card,Failed,59.95
PAY700325,ORD500325,2023-01-14 11:41:00,Buy Now Pay Later,Refunded,58.06
PAY700326,ORD500326,2023-01-14 13:16:00,Credit Card,Success,204.95
PAY700327,ORD500327,2023-01-14 12:52:00,Credit Card,Success,278.76
PAY700328,ORD500328,2023-01-14 16:02:00,Gift Card,Success,56.82
PAY700329,ORD500329,2023-01-14 12:53:00,Buy Now Pay Later,Success,175.73
PAY700330,ORD500330,2023-01-14 17:45:00,Credit Card,Refunded,149.16
PAY700331,ORD500331,2023-01-14 14:06:00,PayPal,Success,132.2
PAY700332,ORD500332,2023-01-14 17:19:00,Credit Card,Success,235.52
PAY700333,ORD500333,2023-01-14 15:32:00,PayPal,Success,89.0
PAY700334,ORD500334,2023-01-14 19:14:00,Credit Card,Success,195.96
PAY700335,ORD500335,2023-01-14 17:27:00,Credit Card,Refunded,185.55
PAY700336,ORD500336,2023-01-14 22:56:00,Credit Card,Success,118.79
PAY700337,ORD500337,2023-01-14 21:24:00,Debit Card,Success,50.51
PAY700338,ORD500338,2023-01-14 22:03:00,PayPal,Failed,102.99
PAY700339,ORD500339,2023-01-15 02:34:00,Gift Card,Success,185.55
PAY700340,ORD500340,2023-01-15 02:51:00,Debit Card,Failed,54.47
PAY700341,ORD500341,2023-01-15 02:10:00,Buy Now Pay Later,Success,144.62
PAY700342,ORD500342,2023-01-15 04:19:00,Debit Card,Success,66.51
PAY700343,ORD500343,2023-01-15 07:20:00,Credit Card,Success,388.29
PAY700344,ORD500344,2023-01-15 07:50:00,Credit Card,Success,622.53
PAY700345,ORD500345,2023-01-15 07:51:00,Credit Card,Success,111.36
PAY700346,ORD500346,2023-01-15 06:14:00,Credit Card,Failed,152.88
PAY700347,ORD500347,2023-01-15 08:45:00,PayPal,Success,85.0
PAY700348,ORD500348,2023-01-15 08:47:00,PayPal,Failed,42.17
PAY700349,ORD500349,2023-01-15 13:18:00,Credit Card,Success,264.17
PAY700350,ORD500350,2023-01-15 16:01:00,Credit Card,Success,151.28
PAY700351,ORD500351,2023-01-15 17:40:00,PayPal,Success,212.9
PAY700352,ORD500352,2023-01-16 03:16:00,Credit Card,Success,215.42
PAY700353,ORD500353,2023-01-16 00:28:00,Credit Card,Success,77.67
PAY700354,ORD500354,2023-01-16 03:05:00,Debit Card,Success,189.14
PAY700355,ORD500355,2023-01-16 02:33:00,Credit Card,Success,204.96
PAY700356,ORD500356,2023-01-16 05:57:00,PayPal,Success,120.89
PAY700357,ORD500357,2023-01-16 03:10:00,PayPal,Success,86.11
PAY700358,ORD500358,2023-01-16 07:45:00,Credit Card,Success,106.25
PAY700359,ORD500359,2023-01-16 04:46:00,Credit Card,Success,218.02
PAY700360,ORD500360,2023-01-16 08:23:00,Credit Card,Success,58.9
