campaign_id,campaign_date,channel,campaign_name,impressions,clicks,spend,conversions,attributed_revenue
CAMP0029,2023-10-12,Social Media,Social_Media_Oct2023_29,245254,3252,5707.37,83,4340.77
CAMP0030,2025-04-12,Display,Display_Apr2025_30,448609,14061,25697.4,146,10574.05
CAMP0031,2025-06-17,Affiliate,Affiliate_Jun2025_31,125204,4536,15174.59,114,8679.16
CAMP0032,2024-02-28,Display,Display_Feb2024_32,131681,991,1722.17,10,748.61
CAMP0033,2024-04-28,Email,Email_Apr2024_33,125679,2502,7756.55,136,13268.59
CAMP0034,2023-11-26,Email,Email_Nov2023_34,334068,13123,32406.73,885,82344.22
CAMP0035,2023-07-05,Display,Display_Jul2023_35,289596,7017,19438.32,59,3638.58
CAMP0036,2025-11-19,Paid Search,Paid_Search_Nov2025_36,89073,2025,6114.89,86,9458.43
CAMP0037,2025-03-13,Email,Email_Mar2025_37,126299,4278,10132.43,302,29267.7
CAMP0038,2025-02-18,Display,Display_Feb2025_38,364532,11169,32973.02,95,9203.73
CAMP0039,2024-06-01,Display,Display_Jun2024_39,443433,8705,28693.25,100,6076.83
CAMP0040,2023-07-06,Email,Email_Jul2023_40,72757,3057,4528.74,197,13583.9
CAMP0041,2025-06-08,Social Media,Social_Media_Jun2025_41,194620,5361,16338.38,102,10924.52
CAMP0042,2025-01-23,Social Media,Social_Media_Jan2025_42,54965,779,962.43,23,1817.44
CAMP0043,2023-08-16,Display,Display_Aug2023_43,96399,3292,10191.43,37,2260.38
CAMP0044,2023-01-08,Affiliate,Affiliate_Jan2023_44,425370,11924,14222.7,397,39243.92
CAMP0045,2025-10-15,Affiliate,Affiliate_Oct2025_45,271959,4239,6923.91,165,12637.46
CAMP0046,2025-02-15,Display,Display_Feb2025_46,149378,1614,2720.23,19,1196.51
CAMP0047,2025-10-28,Paid Search,Paid_Search_Oct2025_47,403556,4274,12002.7,223,17492.18
CAMP0048,2025-09-14,Social Media,Social_Media_Sep2025_48,223505,9710,14376.73,149,9690.95
CAMP0049,2025-08-04,Paid Search,Paid_Search_Aug2025_49,182364,3631,5440.9,212,21599.04
CAMP0050,2024-05-13,Social Media,Social_Media_May2024_50,302761,7620,16068.45,223,19871.81
CAMP0051,2023-03-09,Social Media,Social_Media_Mar2023_51,46806,792,1204.08,15,1178.05
CAMP0052,2025-05-27,Social Media,Social_Media_May2025_52,27131,993,858.03,27,1316.59
CAMP0053,2025-08-15,Affiliate,Affiliate_Aug2025_53,176404,2980,8848.21,93,9023.84
CAMP0054,2023-04-18,Display,Display_Apr2023_54,359425,2769,7814.42,27,1419.84
CAMP0055,2024-05-27,Paid Search,Paid_Search_May2024_55,62063,2139,6930.45,71,7183.01
CAMP0056,2024-02-10,Email,Email_Feb2024_56,289768,9210,28183.54,768,45427.66
CAMP0057,2025-07-27,Social Media,Social_Media_Jul2025_57,47241,473,263.98,9,474.81
CAMP0058,2025-05-10,Paid Search,Paid_Search_May2025_58,368138,1881,4294.31,109,5826.4
CAMP0059,2023-07-04,Display,Display_Jul2023_59,108522,2533,5607.45,22,1320.26
CAMP0060,2025-08-27,Social Media,Social_Media_Aug2025_60,165090,5136,15441.19,88,7497.0
CAMP0061,2023-10-09,Email,Email_Oct2023_61,112643,2603,5825.42,203,16138.0
CAMP0062,2024-04-28,Affiliate,Affiliate_Apr2024_62,13103,220,519.99,8,411.7
CAMP0063,2025-01-07,Email,Email_Jan2025_63,392748,6827,5477.14,461,24049.8
CAMP0064,2024-10-30,Social Media,Social_Media_Oct2024_64,121228,3172,7907.25,78,6496.79
CAMP0065,2023-07-02,Affiliate,Affiliate_Jul2023_65,337300,2689,6678.08,101,10920.09
CAMP0066,2025-08-24,Affiliate,Affiliate_Aug2025_66,53755,710,1248.99,21,1096.35
CAMP0067,2023-09-06,Display,Display_Sep2023_67,248117,5267,8267.85,70,5072.37
CAMP0068,2024-09-04,Paid Search,Paid_Search_Sep2024_68,322889,7936,19297.61,281,12705.18
CAMP0069,2023-02-21,Affiliate,Affiliate_Feb2023_69,222744,3933,7048.94,129,7139.31
CAMP0070,2024-09-30,Social Media,Social_Media_Sep2024_70,362191,6460,12124.2,218,12235.22
CAMP0071,2023-12-23,Affiliate,Affiliate_Dec2023_71,271245,10656,26685.47,392,20311.65
CAMP0072,2024-01-22,Email,Email_Jan2024_72,369914,3793,6430.62,240,24253.96
CAMP0073,2025-02-26,Display,Display_Feb2025_73,321201,7545,9732.36,107,8784.04
CAMP0074,2025-03-19,Email,Email_Mar2025_74,266961,3554,11568.82,260,12175.15
CAMP0075,2025-06-24,Affiliate,Affiliate_Jun2025_75,240568,7056,16246.89,175,15668.85
CAMP0076,2023-03-08,Email,Email_Mar2023_76,151408,1480,3129.12,121,5452.96
CAMP0077,2024-10-07,Paid Search,Paid_Search_Oct2024_77,28625,704,1370.32,21,1312.19
CAMP0078,2025-05-21,Affiliate,Affiliate_May2025_78,139497,4643,9491.39,118,10793.85
CAMP0079,2025-10-11,Email,Email_Oct2025_79,284631,2850,8151.39,222,18483.42
CAMP0080,2023-06-12,Email,Email_Jun2023_80,15266,681,900.8,39,3434.82
CAMP0081,2025-01-09,Display,Display_Jan2025_81,309788,9012,4809.89,134,10496.37
CAMP0082,2024-11-11,Affiliate,Affiliate_Nov2024_82,404448,5285,7161.77,200,15598.18
CAMP0083,2024-08-30,Affiliate,Affiliate_Aug2024_83,108207,3434,8305.42,104,8272.81
CAMP0084,2025-12-09,Affiliate,Affiliate_Dec2025_84,378811,15849,49946.66,610,66775.87
CAMP0085,2023-08-20,Display,Display_Aug2023_85,437607,6314,19397.84,67,6447.48
CAMP0086,2025-10-04,Email,Email_Oct2025_86,200975,4700,15286.46,302,25421.67
CAMP0087,2023-08-31,Email,Email_Aug2023_87,31379,315,174.35,27,2051.26
CAMP0088,2024-10-08,Email,Email_Oct2024_88,123938,2482,1559.18,215,20712.12
CAMP0089,2023-10-26,Display,Display_Oct2023_89,327736,3369,2392.19,47,2251.42
CAMP0090,2024-02-27,Affiliate,Affiliate_Feb2024_90,345498,2305,5951.51,56,5112.41
CAMP0091,2024-03-20,Email,Email_Mar2024_91,23698,873,983.38,78,6247.83
CAMP0092,2023-08-22,Email,Email_Aug2023_92,388706,10153,11961.97,834,69626.04
CAMP0093,2023-08-20,Display,Display_Aug2023_93,427760,2255,4063.85,40,4121.7
CAMP0094,2023-03-24,Email,Email_Mar2023_94,391248,11480,12213.45,804,46843.79
CAMP0095,2024-10-29,Affiliate,Affiliate_Oct2024_95,221422,5647,16294.23,193,13439.38
CAMP0096,2023-11-13,Social Media,Social_Media_Nov2023_96,322045,12889,38000.97,403,34155.08
CAMP0097,2023-10-31,Display,Display_Oct2023_97,163932,2779,4377.73,53,2877.19
CAMP0098,2023-11-19,Affiliate,Affiliate_Nov2023_98,242893,1271,1191.79,32,1494.01
CAMP0099,2024-04-02,Social Media,Social_Media_Apr2024_99,491042,9723,9755.42,310,30278.77
CAMP0100,2025-01-15,Social Media,Social_Media_Jan2025_100,297213,6149,10821.65,132,14402.72
CAMP0101,2023-04-29,Social Media,Social_Media_Apr2023_101,54516,1596,2142.97,50,3059.38
CAMP0102,2025-03-27,Paid Search,Paid_Search_Mar2025_102,291756,6293,14216.96,272,14742.24
CAMP0103,2024-08-27,Affiliate,Affiliate_Aug2024_103,476205,7565,6635.02,279,22294.98
CAMP0104,2023-05-06,Paid Search,Paid_Search_May2023_104,179717,6496,1958.28,235,19632.07
CAMP0105,2023-02-22,Affiliate,Affiliate_Feb2023_105,18338,348,905.68,12,1212.02
CAMP0106,2023-04-15,Social Media,Social_Media_Apr2023_106,306890,7344,13400.41,215,18493.56
CAMP0107,2023-01-28,Social Media,Social_Media_Jan2023_107,213939,3526,3403.46,84,8035.89
CAMP0108,2023-01-19,Paid Search,Paid_Search_Jan2023_108,469380,10155,4914.81,314,16868.98
CAMP0109,2023-07-08,Social Media,Social_Media_Jul2023_109,173791,7519,25864.95,252,23943.23
CAMP0110,2025-08-10,Social Media,Social_Media_Aug2025_110,374894,10647,35420.64,212,21431.38
CAMP0111,2024-08-17,Email,Email_Aug2024_111,495870,9948,24320.92,682,58580.61
CAMP0112,2023-01-16,Email,Email_Jan2023_112,345103,14207,12832.54,774,38150.54
CAMP0113,2024-08-09,Paid Search,Paid_Search_Aug2024_113,227857,5193,10303.34,253,21329.84
CAMP0114,2023-12-20,Social Media,Social_Media_Dec2023_114,235520,4254,3022.75,96,4654.22
CAMP0115,2025-01-30,Email,Email_Jan2025_115,327080,8202,8281.06,671,36521.3
CAMP0116,2023-12-05,Affiliate,Affiliate_Dec2023_116,364937,14335,49019.15,319,23513.8
CAMP0117,2023-04-14,Display,Display_Apr2023_117,293526,7110,7544.15,114,10941.75
CAMP0118,2025-01-05,Email,Email_Jan2025_118,383088,14724,29612.47,846,85945.68
CAMP0119,2025-05-15,Paid Search,Paid_Search_May2025_119,32575,348,467.54,12,685.28
CAMP0120,2024-03-24,Social Media,Social_Media_Mar2024_120,217742,4750,10066.17,93,6542.96
CAMP0121,2024-07-15,Email,Email_Jul2024_121,167953,3038,6224.08,178,14089.59
CAMP0122,2024-04-18,Email,Email_Apr2024_122,90374,1576,4272.87,80,8582.23
CAMP0123,2023-09-28,Affiliate,Affiliate_Sep2023_123,75493,508,1666.06,20,2125.2
CAMP0124,2024-12-02,Affiliate,Affiliate_Dec2024_124,469120,15190,33871.15,423,31453.48
CAMP0125,2023-02-28,Paid Search,Paid_Search_Feb2023_125,435605,4374,3436.65,179,19017.28
CAMP0126,2024-04-09,Email,Email_Apr2024_126,74715,3114,7872.21,271,20334.43
CAMP0127,2024-01-19,Display,Display_Jan2024_127,340835,6004,14145.75,76,7390.46
CAMP0128,2025-01-17,Affiliate,Affiliate_Jan2025_128,196522,3369,7139.22,70,5360.66
CAMP0129,2024-09-01,Email,Email_Sep2024_129,204544,5589,5791.37,426,34352.5
CAMP0130,2023-04-07,Social Media,Social_Media_Apr2023_130,93029,4098,13821.11,100,4730.45
CAMP0131,2025-08-07,Display,Display_Aug2025_131,364879,3480,6892.61,56,3808.93
CAMP0132,2025-10-04,Email,Email_Oct2025_132,118737,1329,2585.65,85,4644.6
CAMP0133,2025-01-26,Social Media,Social_Media_Jan2025_133,481211,18062,7197.39,609,41701.54
CAMP0134,2024-11-06,Social Media,Social_Media_Nov2024_134,255656,6664,16892.5,232,19118.56
CAMP0135,2023-10-07,Affiliate,Affiliate_Oct2023_135,150969,3805,3571.89,103,6608.91
CAMP0136,2024-10-01,Social Media,Social_Media_Oct2024_136,198035,6397,8788.04,159,12783.22
CAMP0137,2023-03-08,Paid Search,Paid_Search_Mar2023_137,16928,212,119.93,9,424.68
CAMP0138,2025-06-30,Affiliate,Affiliate_Jun2025_138,141911,6090,14081.94,132,10990.37
CAMP0139,2024-07-19,Paid Search,Paid_Search_Jul2024_139,90128,3059,6716.82,179,11139.87
CAMP0140,2025-08-08,Paid Search,Paid_Search_Aug2025_140,356225,12168,15118.34,585,40554.58
CAMP0141,2024-10-20,Paid Search,Paid_Search_Oct2024_141,57106,2373,7565.02,76,5661.44
CAMP0142,2024-07-18,Display,Display_Jul2024_142,20620,588,617.87,8,640.94
CAMP0143,2025-07-08,Display,Display_Jul2025_143,150400,6740,9579.79,116,9741.44
CAMP0144,2025-09-30,Affiliate,Affiliate_Sep2025_144,11299,507,1447.4,18,1444.98
CAMP0145,2024-06-10,Social Media,Social_Media_Jun2024_145,452426,13520,16051.49,263,25890.78
CAMP0146,2024-09-20,Social Media,Social_Media_Sep2024_146,316090,8439,11816.06,161,13195.01
CAMP0147,2023-05-21,Email,Email_May2023_147,108828,4435,12710.17,253,27428.12
CAMP0148,2024-11-08,Display,Display_Nov2024_148,438694,10809,10984.77,94,5731.86
CAMP0149,2024-07-18,Affiliate,Affiliate_Jul2024_149,23231,653,1001.76,15,1087.28
CAMP0150,2024-07-10,Display,Display_Jul2024_150,130137,5441,6374.62,77,4281.46
