customer_id,last_order_date,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_score,segment,customer_segment,acquisition_channel
CUST100030,2024-06-30 04:54:00,1,248.12622000000002,549,2,1,2,212,Lost Customers,Mainstream,Organic Search
CUST100031,2025-06-16 06:57:00,2,544.1189999999999,198,3,2,3,323,Others,Premium,Email
CUST100032,2023-02-05 17:02:00,1,123.36,1060,1,1,1,111,Lost Customers,Budget,Social Media
CUST100033,2025-01-17 08:30:00,7,782.92553,348,3,5,4,354,Loyal Customers,Budget,Paid Search
CUST100034,2023-09-27 20:56:00,1,94.09284000000001,826,1,1,1,111,Lost Customers,Mainstream,Social Media
CUST100035,2025-12-29 12:59:00,37,7303.0996000000005,2,5,5,5,555,Champions,Budget,Direct
CUST100037,2025-07-13 13:02:00,2,748.58,171,3,2,4,324,Others,Premium,Organic Search
CUST100038,2023-09-04 21:45:00,1,66.91,849,1,1,1,111,Lost Customers,Mainstream,Organic Search
CUST100039,2025-04-24 16:04:00,1,221.46,251,3,1,2,312,Others,Mainstream,Social Media
CUST100040,2024-03-27 14:52:00,2,190.22372,644,1,2,2,122,Lost Customers,Premium,Affiliate
CUST100042,2025-07-19 04:50:00,4,1522.2845,165,3,4,5,345,Loyal Customers,Budget,Direct
CUST100043,2025-11-23 18:27:00,18,2622.60532,38,5,5,5,555,Champions,Budget,Direct
CUST100044,2025-05-28 15:54:00,2,936.93239,217,3,2,4,324,Others,Budget,Organic Search
CUST100045,2025-10-16 03:54:00,7,1687.9299999999998,76,4,5,5,455,Champions,Mainstream,Referral
CUST100046,2025-01-22 19:10:00,3,946.6099999999999,343,3,3,4,334,At Risk,Premium,Affiliate
CUST100047,2025-12-18 21:24:00,6,1184.76425,13,5,5,5,555,Champions,Premium,Affiliate
CUST100048,2025-08-31 08:44:00,7,1130.8999999999999,122,4,5,5,455,Champions,Mainstream,Email
CUST100049,2025-06-15 02:48:00,1,208.2,199,3,1,2,312,Others,Premium,Paid Search
CUST100050,2023-11-05 18:59:00,1,12.52,787,1,1,1,111,Lost Customers,Mainstream,Paid Search
CUST100051,2023-02-26 05:37:00,1,126.22800000000001,1039,1,1,1,111,Lost Customers,Budget,Organic Search
CUST100052,2025-02-02 10:52:00,1,248.7423,332,3,1,2,312,Others,Budget,Email
CUST100053,2025-06-15 11:41:00,4,1875.15,199,3,4,5,345,Loyal Customers,Mainstream,Organic Search
CUST100055,2025-11-15 22:33:00,2,176.46856000000002,46,5,2,2,522,Potential Loyalists,Budget,Referral
CUST100056,2024-12-18 22:27:00,2,442.09123,378,2,2,3,223,Lost Customers,Premium,Paid Search
CUST100058,2025-04-17 09:35:00,1,181.89,258,3,1,2,312,Others,Mainstream,Paid Search
CUST100059,2024-08-29 16:51:00,2,303.85,489,2,2,2,222,Lost Customers,Budget,Organic Search
CUST100060,2025-04-11 06:02:00,4,713.39173,264,3,4,4,344,Loyal Customers,Mainstream,Direct
CUST100061,2023-08-27 15:39:00,1,297.03,857,1,1,2,112,Lost Customers,Mainstream,Paid Search
CUST100062,2025-12-10 11:03:00,16,3112.36397,21,5,5,5,555,Champions,Budget,Organic Search
CUST100063,2024-12-08 08:16:00,3,625.16115,388,2,3,4,234,At Risk,Budget,Affiliate
CUST100064,2023-12-02 18:44:00,1,126.14,760,1,1,1,111,Lost Customers,Mainstream,Direct
CUST100065,2025-06-02 00:38:00,1,100.8,212,3,1,1,311,Others,Mainstream,Direct
CUST100066,2025-12-11 03:28:00,6,1011.10722,20,5,5,4,554,Champions,Budget,Paid Search
CUST100067,2025-08-19 04:18:00,4,1031.74624,134,4,4,5,445,Champions,Mainstream,Organic Search
CUST100068,2025-12-15 08:17:00,3,800.55768,16,5,3,4,534,Potential Loyalists,Budget,Organic Search
CUST100069,2025-09-01 23:05:00,26,5386.68069,121,4,5,5,455,Champions,Budget,Paid Search
CUST100070,2025-06-06 13:04:00,3,707.81,208,3,3,4,334,At Risk,Premium,Affiliate
CUST100071,2025-05-25 09:46:00,1,88.29,220,3,1,1,311,Others,Budget,Paid Search
CUST100072,2025-09-05 06:13:00,1,138.35,117,4,1,1,411,New Customers,Mainstream,Referral
CUST100073,2024-07-07 11:13:00,1,214.85,542,2,1,2,212,Lost Customers,Mainstream,Paid Search
CUST100075,2024-01-01 17:22:00,1,380.1839,730,1,1,3,113,Lost Customers,Budget,Paid Search
CUST100076,2025-02-24 07:28:00,1,89.0,310,3,1,1,311,Others,Mainstream,Paid Search
CUST100077,2023-04-02 07:25:00,1,544.21,1004,1,1,3,113,Lost Customers,Mainstream,Organic Search
CUST100078,2024-10-10 01:36:00,4,904.00842,447,2,4,4,244,Loyal Customers,Budget,Affiliate
CUST100079,2025-12-10 11:58:00,5,1036.92432,21,5,4,5,545,Champions,Budget,Email
CUST100081,2023-04-17 12:59:00,1,77.16,989,1,1,1,111,Lost Customers,Mainstream,Organic Search
CUST100082,2023-05-01 14:24:00,1,434.82,975,1,1,3,113,Lost Customers,Budget,Referral
CUST100083,2024-08-18 18:38:00,7,1547.6840499999998,500,2,5,5,255,Loyal Customers,Mainstream,Email
CUST100084,2025-08-07 19:32:00,2,475.78000000000003,146,4,2,3,423,Potential Loyalists,Mainstream,Social Media
CUST100085,2025-03-29 23:29:00,5,1100.902,276,3,4,5,345,Loyal Customers,Budget,Email
CUST100088,2025-07-09 21:05:00,4,855.28805,175,3,4,4,344,Loyal Customers,Mainstream,Affiliate
CUST100089,2025-09-19 01:49:00,1,194.91,103,4,1,2,412,New Customers,Mainstream,Social Media
CUST100090,2025-08-23 16:09:00,3,554.76,130,4,3,4,434,Potential Loyalists,Budget,Paid Search
CUST100091,2024-06-30 14:32:00,1,247.63654000000002,549,2,1,2,212,Lost Customers,Mainstream,Organic Search
CUST100092,2025-07-11 17:13:00,7,1054.78229,173,3,5,5,355,Loyal Customers,Mainstream,Paid Search
CUST100093,2025-12-11 16:27:00,1,212.95,20,5,1,2,512,New Customers,Mainstream,Organic Search
CUST100094,2024-12-03 14:59:00,8,1025.22865,393,2,5,5,255,Loyal Customers,Budget,Organic Search
CUST100095,2023-06-05 06:41:00,1,280.15283,940,1,1,2,112,Lost Customers,Budget,Email
CUST100096,2025-10-20 09:21:00,2,336.23,72,4,2,3,423,Potential Loyalists,Premium,Social Media
CUST100098,2025-11-27 21:40:00,4,470.19957999999997,34,5,4,3,543,Loyal Customers,Budget,Affiliate
CUST100099,2023-05-22 10:05:00,1,78.16,954,1,1,1,111,Lost Customers,Mainstream,Paid Search
CUST100100,2024-09-29 14:58:00,1,289.62,458,2,1,2,212,Lost Customers,Mainstream,Paid Search
CUST100101,2024-07-14 00:09:00,5,984.73792,535,2,4,4,244,Loyal Customers,Premium,Email
CUST100102,2023-12-10 02:06:00,1,78.58,752,1,1,1,111,Lost Customers,Mainstream,Social Media
CUST100103,2025-10-18 16:05:00,2,247.48999999999998,74,4,2,2,422,Potential Loyalists,Premium,Social Media
CUST100105,2025-07-22 06:02:00,3,982.8700799999999,162,3,3,4,334,At Risk,Premium,Paid Search
CUST100106,2025-04-20 03:52:00,5,820.52937,255,3,4,4,344,Loyal Customers,Budget,Social Media
CUST100107,2025-11-22 07:27:00,12,2008.6075,39,5,5,5,555,Champions,Premium,Affiliate
CUST100111,2025-09-01 21:29:00,5,1166.64515,121,4,4,5,445,Champions,Budget,Organic Search
CUST100112,2023-11-28 10:31:00,4,971.4901500000001,764,1,4,4,144,Loyal Customers,Mainstream,Paid Search
CUST100113,2025-03-19 15:53:00,7,753.10201,287,3,5,4,354,Loyal Customers,Budget,Social Media
CUST100114,2024-11-05 10:15:00,1,97.36,421,2,1,1,211,Lost Customers,Mainstream,Social Media
CUST100115,2025-07-13 18:52:00,1,199.44,171,3,1,2,312,Others,Budget,Affiliate
CUST100116,2023-02-06 01:44:00,1,308.31,1059,1,1,3,113,Lost Customers,Budget,Email
CUST100117,2024-03-09 16:58:00,1,89.0,662,1,1,1,111,Lost Customers,Budget,Paid Search
CUST100118,2025-10-24 21:04:00,10,2510.55395,68,4,5,5,455,Champions,Mainstream,Direct
CUST100119,2025-12-14 06:14:00,10,1428.45498,17,5,5,5,555,Champions,Mainstream,Organic Search
CUST100120,2025-10-07 07:01:00,1,101.04912,85,4,1,1,411,New Customers,Mainstream,Email
CUST100123,2025-08-11 05:55:00,2,401.84512,142,4,2,3,423,Potential Loyalists,Mainstream,Affiliate
CUST100124,2025-03-26 14:17:00,3,222.01500000000001,280,3,3,2,332,At Risk,Budget,Paid Search
CUST100125,2025-04-28 23:21:00,6,1288.1885,246,3,5,5,355,Loyal Customers,Mainstream,Social Media
CUST100126,2025-09-21 23:29:00,6,1458.33095,100,4,5,5,455,Champions,Mainstream,Social Media
CUST100127,2025-05-13 18:16:00,1,350.06,232,3,1,3,313,Others,Premium,Organic Search
CUST100128,2023-02-02 16:02:00,1,749.98,1063,1,1,4,114,Lost Customers,Budget,Organic Search
CUST100129,2025-11-21 11:20:00,3,868.7605000000001,40,5,3,4,534,Potential Loyalists,Mainstream,Email
CUST100130,2025-11-27 23:49:00,3,781.6877,33,5,3,4,534,Potential Loyalists,Premium,Organic Search
CUST100131,2025-12-11 07:49:00,10,2104.0118899999998,20,5,5,5,555,Champions,Premium,Paid Search
CUST100132,2025-09-27 19:42:00,10,2142.2634900000003,95,4,5,5,455,Champions,Mainstream,Referral
CUST100133,2025-11-25 06:39:00,5,693.63,36,5,4,4,544,Champions,Budget,Email
CUST100134,2025-05-10 21:58:00,2,727.8499999999999,235,3,2,4,324,Others,Mainstream,Organic Search
CUST100135,2024-12-22 18:58:00,2,170.2421,374,2,2,2,222,Lost Customers,Mainstream,Affiliate
CUST100136,2025-05-31 06:16:00,2,204.67159999999998,214,3,2,2,322,Others,Budget,Direct
CUST100137,2024-03-12 02:34:00,4,1147.07,659,1,4,5,145,Loyal Customers,Budget,Affiliate
CUST100140,2023-10-30 10:39:00,1,111.22,793,1,1,1,111,Lost Customers,Premium,Paid Search
CUST100141,2025-03-07 00:32:00,6,851.07531,299,3,5,4,354,Loyal Customers,Budget,Affiliate
CUST100142,2025-10-07 18:05:00,6,1371.173,85,4,5,5,455,Champions,Premium,Direct
CUST100143,2023-04-15 17:38:00,1,365.76,991,1,1,3,113,Lost Customers,Mainstream,Referral
CUST100144,2025-08-30 10:57:00,1,73.92,123,4,1,1,411,New Customers,Premium,Social Media
CUST100146,2025-11-07 09:09:00,4,863.8695,54,4,4,4,444,Champions,Budget,Email
CUST100147,2024-08-05 13:23:00,2,481.03,513,2,2,3,223,Lost Customers,Budget,Paid Search
CUST100148,2024-09-21 05:04:00,1,39.5,466,2,1,1,211,Lost Customers,Budget,Social Media
CUST100149,2024-04-26 03:52:00,1,210.53,614,1,1,2,112,Lost Customers,Mainstream,Email
CUST100150,2025-06-18 15:19:00,8,1494.02023,196,3,5,5,355,Loyal Customers,Budget,Referral
CUST100151,2023-03-28 22:48:00,1,225.4446,1009,1,1,2,112,Lost Customers,Mainstream,Social Media
CUST100152,2024-07-09 13:46:00,6,859.7,540,2,5,4,254,Loyal Customers,Premium,Referral
CUST100153,2025-04-25 07:25:00,2,949.3399999999999,250,3,2,4,324,Others,Mainstream,Paid Search
CUST100154,2024-10-28 05:50:00,3,349.4,429,2,3,3,233,At Risk,Mainstream,Organic Search
CUST100155,2025-08-15 10:36:00,2,208.51999999999998,138,4,2,2,422,Potential Loyalists,Premium,Paid Search
CUST100156,2025-11-24 06:41:00,1,301.15,37,5,1,2,512,New Customers,Mainstream,Organic Search
CUST100157,2025-09-01 15:16:00,1,208.90394999999998,121,4,1,2,412,New Customers,Budget,Organic Search
CUST100158,2024-01-19 00:49:00,1,249.58,712,1,1,2,112,Lost Customers,Budget,Organic Search
CUST100159,2025-12-20 05:41:00,2,329.62,11,5,2,3,523,Potential Loyalists,Mainstream,Social Media
CUST100161,2025-07-12 19:51:00,5,536.89688,172,3,4,3,343,Loyal Customers,Mainstream,Social Media
CUST100163,2024-12-12 05:44:00,2,542.59,384,2,2,3,223,Lost Customers,Mainstream,Paid Search
CUST100164,2025-08-24 09:12:00,3,251.26,129,4,3,2,432,Potential Loyalists,Budget,Organic Search
CUST100165,2025-12-03 13:10:00,10,1356.74886,28,5,5,5,555,Champions,Budget,Paid Search
CUST100166,2025-10-23 01:52:00,3,265.69915000000003,69,4,3,2,432,Potential Loyalists,Premium,Paid Search
CUST100167,2024-11-10 09:26:00,1,110.03,416,2,1,1,211,Lost Customers,Budget,Email
CUST100168,2025-02-06 07:34:00,8,1649.55119,328,3,5,5,355,Loyal Customers,Budget,Direct
CUST100170,2025-11-26 22:10:00,6,580.97,35,5,5,4,554,Champions,Mainstream,Organic Search
CUST100171,2025-12-14 08:19:00,13,2764.5113,17,5,5,5,555,Champions,Mainstream,Paid Search
CUST100172,2025-12-28 10:31:00,11,1998.34879,3,5,5,5,555,Champions,Mainstream,Paid Search
CUST100174,2025-08-03 05:18:00,9,2186.37453,150,4,5,5,455,Champions,Budget,Social Media
CUST100176,2023-11-21 22:01:00,2,654.51856,771,1,2,4,124,Lost Customers,Mainstream,Direct
CUST100177,2024-08-23 02:45:00,4,901.0,495,2,4,4,244,Loyal Customers,Mainstream,Social Media
CUST100178,2025-12-11 22:23:00,5,814.9593199999999,20,5,4,4,544,Champions,Premium,Paid Search
CUST100179,2025-05-21 17:49:00,1,235.10435999999999,224,3,1,2,312,Others,Budget,Email
CUST100181,2023-12-07 14:04:00,2,821.4915899999999,755,1,2,4,124,Lost Customers,Mainstream,Organic Search
CUST100182,2023-11-29 00:22:00,1,43.43759,763,1,1,1,111,Lost Customers,Mainstream,Email
CUST100183,2024-09-24 05:07:00,4,1063.53,463,2,4,5,245,Loyal Customers,Budget,Social Media
CUST100184,2025-11-25 10:00:00,5,1172.2525500000002,36,5,4,5,545,Champions,Mainstream,Organic Search
CUST100185,2025-08-23 10:41:00,1,644.55,130,4,1,4,414,New Customers,Premium,Email
CUST100186,2025-05-30 03:13:00,2,110.31,215,3,2,1,321,Others,Mainstream,Organic Search
CUST100187,2025-11-09 21:53:00,4,1143.81136,52,5,4,5,545,Champions,Budget,Organic Search
CUST100188,2025-06-03 19:33:00,3,195.1013,211,3,3,2,332,At Risk,Budget,Organic Search
CUST100189,2024-11-24 15:43:00,1,115.39,402,2,1,1,211,Lost Customers,Mainstream,Email
CUST100190,2024-05-14 04:30:00,6,815.38371,596,2,5,4,254,Loyal Customers,Budget,Direct
CUST100191,2025-09-23 02:51:00,1,574.06,99,4,1,4,414,New Customers,Premium,Email
CUST100192,2025-05-25 16:48:00,3,505.63075,220,3,3,3,333,At Risk,Premium,Referral
CUST100194,2025-11-23 02:58:00,1,166.9,38,5,1,2,512,New Customers,Mainstream,Social Media
CUST100195,2025-11-16 10:47:00,10,2894.18826,45,5,5,5,555,Champions,Mainstream,Paid Search
CUST100196,2025-11-20 14:08:00,10,2024.93157,41,5,5,5,555,Champions,Budget,Social Media
CUST100197,2025-11-16 06:15:00,5,813.5266300000001,45,5,4,4,544,Champions,Budget,Email
CUST100198,2025-09-05 06:24:00,4,890.8733,117,4,4,4,444,Champions,Mainstream,Paid Search
CUST100200,2024-02-13 20:41:00,1,284.72683,687,1,1,2,112,Lost Customers,Budget,Organic Search
CUST100202,2024-08-19 23:25:00,1,125.54016,498,2,1,1,211,Lost Customers,Mainstream,Social Media
CUST100203,2023-08-08 04:12:00,2,749.0898,876,1,2,4,124,Lost Customers,Premium,Referral
CUST100204,2025-11-29 04:34:00,4,1056.84584,32,5,4,5,545,Champions,Budget,Social Media
CUST100205,2025-10-20 17:00:00,14,2978.00936,72,4,5,5,455,Champions,Premium,Paid Search
CUST100206,2025-09-03 13:59:00,7,1008.01617,119,4,5,4,454,Champions,Mainstream,Affiliate
CUST100207,2025-07-02 07:26:00,4,740.04,182,3,4,4,344,Loyal Customers,Budget,Email
CUST100208,2025-04-20 20:47:00,1,96.89999999999999,255,3,1,1,311,Others,Mainstream,Social Media
CUST100209,2025-11-26 04:36:00,11,2571.77187,35,5,5,5,555,Champions,Mainstream,Email
CUST100211,2025-04-09 05:40:00,2,577.13,266,3,2,4,324,Others,Mainstream,Referral
CUST100212,2025-01-14 04:57:00,2,236.3,351,2,2,2,222,Lost Customers,Mainstream,Organic Search
CUST100213,2024-08-19 17:20:00,3,950.13,499,2,3,4,234,At Risk,Premium,Direct
CUST100214,2025-10-17 02:20:00,1,581.3100000000001,75,4,1,4,414,New Customers,Budget,Organic Search
CUST100215,2024-06-02 20:05:00,1,343.90999999999997,577,2,1,3,213,Lost Customers,Mainstream,Referral
CUST100216,2025-05-08 00:56:00,4,890.21127,237,3,4,4,344,Loyal Customers,Premium,Direct
CUST100219,2025-10-06 09:25:00,2,103.42665,86,4,2,1,421,Potential Loyalists,Mainstream,Email
CUST100220,2024-08-27 12:12:00,2,114.65,491,2,2,1,221,Lost Customers,Budget,Social Media
CUST100221,2024-11-26 04:30:00,4,748.6999999999999,400,2,4,4,244,Loyal Customers,Mainstream,Paid Search
CUST100222,2024-10-04 05:36:00,1,423.85,453,2,1,3,213,Lost Customers,Mainstream,Social Media
CUST100223,2024-09-19 09:54:00,3,277.59999999999997,468,2,3,2,232,At Risk,Budget,Social Media
CUST100224,2024-08-07 11:44:00,1,53.08,511,2,1,1,211,Lost Customers,Mainstream,Paid Search
CUST100227,2025-04-05 18:05:00,3,742.1,270,3,3,4,334,At Risk,Premium,Social Media
CUST100231,2025-02-10 15:59:00,2,461.72616,324,3,2,3,323,Others,Mainstream,Paid Search
CUST100233,2024-10-15 11:36:00,3,143.65,442,2,3,1,231,At Risk,Budget,Social Media
CUST100234,2025-09-27 17:38:00,1,146.70000000000002,95,4,1,1,411,New Customers,Mainstream,Paid Search
CUST100235,2024-05-08 12:57:00,1,132.2,602,2,1,1,211,Lost Customers,Mainstream,Email
CUST100236,2024-01-19 14:56:00,1,362.38,712,1,1,3,113,Lost Customers,Mainstream,Direct
CUST100237,2025-12-16 14:39:00,6,1281.7301400000001,15,5,5,5,555,Champions,Budget,Referral
CUST100238,2024-11-05 09:57:00,3,599.07,421,2,3,4,234,At Risk,Premium,Paid Search
CUST100240,2025-12-02 01:59:00,5,552.07519,29,5,4,4,544,Champions,Mainstream,Social Media
CUST100241,2025-12-24 17:39:00,51,11635.82328,7,5,5,5,555,Champions,Budget,Email
CUST100242,2025-09-03 14:29:00,12,3075.74517,119,4,5,5,455,Champions,Budget,Affiliate
CUST100243,2025-12-25 15:32:00,4,705.48222,6,5,4,4,544,Champions,Mainstream,Paid Search
CUST100244,2025-10-01 15:09:00,3,388.68,91,4,3,3,433,Potential Loyalists,Mainstream,Social Media
CUST100245,2025-04-14 06:04:00,10,1980.6865500000001,261,3,5,5,355,Loyal Customers,Mainstream,Affiliate
CUST100246,2023-10-25 14:07:00,1,39.81,798,1,1,1,111,Lost Customers,Budget,Paid Search
CUST100247,2025-11-08 10:30:00,2,480.69780000000003,53,4,2,3,423,Potential Loyalists,Premium,Affiliate
CUST100248,2024-07-12 22:15:00,8,1453.4873,537,2,5,5,255,Loyal Customers,Mainstream,Social Media
CUST100249,2025-08-09 19:51:00,1,84.20830000000001,144,4,1,1,411,New Customers,Premium,Email
CUST100250,2025-10-27 15:35:00,2,222.14,65,4,2,2,422,Potential Loyalists,Budget,Social Media
CUST100251,2023-07-16 12:27:00,1,87.67087000000001,899,1,1,1,111,Lost Customers,Premium,Direct
CUST100252,2024-09-13 06:38:00,1,78.32,474,2,1,1,211,Lost Customers,Mainstream,Direct
CUST100253,2023-06-25 20:19:00,1,27.72,920,1,1,1,111,Lost Customers,Mainstream,Paid Search
CUST100254,2025-12-07 10:38:00,17,4527.49423,24,5,5,5,555,Champions,Budget,Referral
CUST100256,2023-09-03 16:31:00,1,479.95,850,1,1,3,113,Lost Customers,Premium,Organic Search
CUST100257,2025-11-02 18:29:00,18,3528.1028,59,4,5,5,455,Champions,Mainstream,Social Media
CUST100258,2025-12-01 18:47:00,2,726.66543,30,5,2,4,524,Potential Loyalists,Mainstream,Email
CUST100259,2025-06-01 07:02:00,1,222.71,213,3,1,2,312,Others,Mainstream,Organic Search
CUST100260,2024-11-30 08:40:00,3,689.69956,396,2,3,4,234,At Risk,Mainstream,Organic Search
CUST100261,2025-05-12 10:25:00,3,318.42999999999995,233,3,3,3,333,At Risk,Mainstream,Paid Search
CUST100262,2025-04-26 05:27:00,3,422.10348,249,3,3,3,333,At Risk,Premium,Organic Search
CUST100263,2023-11-18 16:36:00,1,212.64216000000002,774,1,1,2,112,Lost Customers,Budget,Paid Search
CUST100265,2025-09-17 23:56:00,1,117.8,104,4,1,1,411,New Customers,Mainstream,Direct
CUST100266,2023-10-01 16:12:00,2,525.49,822,1,2,3,123,Lost Customers,Budget,Organic Search
CUST100267,2025-03-10 23:09:00,2,581.51,295,3,2,4,324,Others,Budget,Direct
CUST100269,2025-09-03 17:03:00,2,461.67768,119,4,2,3,423,Potential Loyalists,Mainstream,Social Media
CUST100270,2024-12-28 08:09:00,3,878.75248,368,2,3,4,234,At Risk,Budget,Paid Search
CUST100271,2025-12-08 20:39:00,5,804.7119600000001,23,5,4,4,544,Champions,Budget,Paid Search
CUST100272,2024-06-30 19:03:00,2,660.63,549,2,2,4,224,Lost Customers,Mainstream,Email
CUST100273,2025-04-23 18:35:00,8,1506.65219,252,3,5,5,355,Loyal Customers,Budget,Organic Search
CUST100275,2025-11-22 11:37:00,1,197.07,39,5,1,2,512,New Customers,Mainstream,Organic Search
CUST100277,2023-07-30 09:15:00,2,342.66425,885,1,2,3,123,Lost Customers,Budget,Organic Search
CUST100279,2025-03-03 20:49:00,1,148.67999999999998,303,3,1,1,311,Others,Mainstream,Organic Search
CUST100280,2024-12-08 03:37:00,1,148.49,388,2,1,1,211,Lost Customers,Mainstream,Social Media
CUST100281,2024-09-05 04:50:00,2,306.51806,482,2,2,2,222,Lost Customers,Budget,Affiliate
CUST100282,2025-07-25 18:37:00,6,1035.45614,159,4,5,5,455,Champions,Mainstream,Paid Search
CUST100283,2024-09-20 06:00:00,5,1307.88098,467,2,4,5,245,Loyal Customers,Mainstream,Organic Search
CUST100284,2025-11-05 08:32:00,10,2366.49392,56,4,5,5,455,Champions,Mainstream,Social Media
CUST100285,2023-09-15 16:24:00,1,207.51,838,1,1,2,112,Lost Customers,Budget,Affiliate
CUST100286,2025-05-17 03:50:00,1,28.794249999999998,228,3,1,1,311,Others,Budget,Paid Search
CUST100287,2023-02-12 02:18:00,1,19.08,1053,1,1,1,111,Lost Customers,Mainstream,Referral
CUST100289,2025-09-03 12:27:00,2,171.47008,119,4,2,2,422,Potential Loyalists,Premium,Organic Search
CUST100292,2025-12-07 10:41:00,1,34.28,24,5,1,1,511,New Customers,Mainstream,Paid Search
CUST100293,2023-04-12 19:44:00,2,184.07999999999998,994,1,2,2,122,Lost Customers,Mainstream,Organic Search
CUST100294,2025-05-28 18:48:00,3,566.99,217,3,3,4,334,At Risk,Budget,Organic Search
CUST100295,2023-12-13 17:13:00,2,356.38,749,1,2,3,123,Lost Customers,Mainstream,Organic Search
CUST100297,2025-12-04 09:13:00,3,1048.71,27,5,3,5,535,Potential Loyalists,Budget,Email
CUST100298,2025-12-12 08:23:00,2,505.96000000000004,19,5,2,3,523,Potential Loyalists,Mainstream,Direct
CUST100299,2025-07-01 17:10:00,6,1048.0759699999999,183,3,5,5,355,Loyal Customers,Mainstream,Social Media
CUST100300,2024-03-25 20:36:00,1,100.47460000000001,646,1,1,1,111,Lost Customers,Budget,Organic Search
CUST100301,2024-11-21 03:33:00,1,56.94,405,2,1,1,211,Lost Customers,Mainstream,Paid Search
CUST100304,2025-12-13 03:47:00,4,733.42083,18,5,4,4,544,Champions,Budget,Organic Search
CUST100306,2025-10-21 18:06:00,1,116.28,71,4,1,1,411,New Customers,Mainstream,Referral
CUST100307,2025-03-02 11:12:00,7,1290.63223,304,3,5,5,355,Loyal Customers,Mainstream,Paid Search
CUST100308,2025-10-13 23:19:00,12,1380.45764,78,4,5,5,455,Champions,Mainstream,Email
CUST100310,2025-05-28 03:16:00,2,298.62388000000004,217,3,2,2,322,Others,Premium,Referral
CUST100311,2025-09-16 01:09:00,2,99.92696,106,4,2,1,421,Potential Loyalists,Budget,Referral
CUST100312,2025-11-21 23:21:00,5,766.70719,39,5,4,4,544,Champions,Premium,Referral
CUST100314,2025-11-23 04:48:00,5,1323.69808,38,5,4,5,545,Champions,Budget,Social Media
CUST100317,2025-09-15 03:21:00,3,561.4721,107,4,3,4,434,Potential Loyalists,Premium,Affiliate
CUST100318,2025-03-05 22:55:00,5,1529.84,301,3,4,5,345,Loyal Customers,Mainstream,Paid Search
CUST100319,2023-04-23 06:47:00,1,159.99,983,1,1,2,112,Lost Customers,Mainstream,Social Media
CUST100320,2025-02-17 07:15:00,3,499.94,317,3,3,3,333,At Risk,Budget,Paid Search
CUST100322,2023-10-07 18:54:00,2,347.04999999999995,816,1,2,3,123,Lost Customers,Premium,Social Media
CUST100324,2025-11-12 07:37:00,1,748.74,49,5,1,4,514,New Customers,Mainstream,Email
