return_id,order_id,product_id,return_date,return_reason,returned_quantity,refund_amount
RET900080,ORD501265,PROD1165,2023-02-25,No Longer Needed,1,66.91
RET900081,ORD501274,PROD1023,2023-03-05,Size/Fit Issue,1,101.06
RET900082,ORD501295,PROD1200,2023-03-09,Defective/Damaged,1,106.04
RET900083,ORD501296,PROD1043,2023-03-07,Defective/Damaged,1,22.04
RET900084,ORD501299,PROD1033,2023-02-24,Changed Mind,1,185.77
RET900085,ORD501305,PROD1160,2023-03-05,Better Price Found,1,64.71
RET900086,ORD501341,PROD1144,2023-03-11,Changed Mind,1,201.6
RET900087,ORD501346,PROD1191,2023-03-12,Not as Described,1,42.59
RET900088,ORD501346,PROD1147,2023-03-03,Wrong Item Shipped,1,56.65
RET900089,ORD501378,PROD1071,2023-02-25,Wrong Item Shipped,1,166.35
RET900090,ORD501387,PROD1169,2023-03-22,Better Price Found,1,285.61
RET900091,ORD501450,PROD1174,2023-03-17,Wrong Item Shipped,1,27.31
RET900092,ORD501463,PROD1121,2023-03-09,Defective/Damaged,1,104.1
RET900093,ORD501509,PROD1031,2023-03-25,Not as Described,1,61.68
RET900094,ORD501524,PROD1020,2023-03-03,Not as Described,1,61.67
RET900095,ORD501577,PROD1180,2023-03-21,Defective/Damaged,1,183.8
RET900096,ORD501590,PROD1139,2023-03-17,Not as Described,1,297.03
RET900097,ORD501606,PROD1001,2023-03-28,Better Price Found,1,89.0
RET900098,ORD501617,PROD1057,2023-03-28,Not as Described,1,47.42
RET900099,ORD501622,PROD1049,2023-03-06,Defective/Damaged,2,108.76
RET900100,ORD501644,PROD1232,2023-03-11,Not as Described,1,34.28
RET900101,ORD501655,PROD1012,2023-03-18,Changed Mind,3,644.55
RET900102,ORD501672,PROD1152,2023-03-31,Defective/Damaged,1,86.17
RET900103,ORD501680,PROD1003,2023-03-24,No Longer Needed,1,76.37
RET900104,ORD501719,PROD1126,2023-03-09,Size/Fit Issue,1,212.95
RET900105,ORD501721,PROD1001,2023-04-03,No Longer Needed,1,89.0
RET900106,ORD501722,PROD1061,2023-03-28,Defective/Damaged,1,15.96
RET900107,ORD501737,PROD1216,2023-03-13,Better Price Found,1,260.5
RET900108,ORD501739,PROD1031,2023-03-14,Not as Described,2,123.36
RET900109,ORD501741,PROD1012,2023-03-31,Size/Fit Issue,1,214.85
RET900110,ORD501779,PROD1203,2023-03-26,Wrong Item Shipped,1,111.22
RET900111,ORD501780,PROD1012,2023-03-12,Defective/Damaged,1,214.85
RET900112,ORD501788,PROD1059,2023-03-19,No Longer Needed,1,38.65
RET900113,ORD501790,PROD1253,2023-03-11,Better Price Found,1,20.0
RET900114,ORD501807,PROD1089,2023-03-19,Not as Described,1,170.93
RET900115,ORD501824,PROD1131,2023-03-19,Better Price Found,1,78.43
RET900116,ORD501885,PROD1031,2023-03-18,Changed Mind,1,48.6
RET900117,ORD501888,PROD1107,2023-03-30,Wrong Item Shipped,1,132.2
RET900118,ORD501902,PROD1135,2023-03-23,Wrong Item Shipped,1,109.82
RET900119,ORD501950,PROD1159,2023-03-15,Size/Fit Issue,1,9.0
RET900120,ORD501952,PROD1012,2023-04-05,Better Price Found,1,214.85
RET900121,ORD501965,PROD1165,2023-03-20,Defective/Damaged,1,66.91
RET900122,ORD501979,PROD1165,2023-03-28,Defective/Damaged,1,66.91
RET900123,ORD501986,PROD1001,2023-03-31,Size/Fit Issue,1,89.0
RET900124,ORD501986,PROD1231,2023-03-19,Changed Mind,1,78.58
RET900125,ORD501987,PROD1207,2023-03-29,Defective/Damaged,1,29.25
RET900126,ORD501995,PROD1224,2023-03-24,Defective/Damaged,1,256.54
RET900127,ORD502014,PROD1207,2023-04-12,No Longer Needed,1,26.37
RET900128,ORD502019,PROD1162,2023-03-26,Size/Fit Issue,1,72.45
RET900129,ORD502019,PROD1212,2023-04-11,Size/Fit Issue,1,50.59
RET900130,ORD502019,PROD1001,2023-03-27,Better Price Found,1,89.0
RET900131,ORD502026,PROD1255,2023-04-07,Changed Mind,1,130.19
RET900132,ORD502032,PROD1149,2023-04-09,Defective/Damaged,1,132.46
RET900133,ORD502042,PROD1128,2023-04-06,No Longer Needed,1,211.71
RET900134,ORD502056,PROD1237,2023-04-12,No Longer Needed,1,190.21
RET900135,ORD502070,PROD1090,2023-04-01,Defective/Damaged,1,149.74
RET900136,ORD502072,PROD1207,2023-04-10,Changed Mind,1,31.62
RET900137,ORD502097,PROD1000,2023-04-16,Changed Mind,1,54.6
RET900138,ORD502112,PROD1055,2023-04-11,No Longer Needed,1,60.39
RET900139,ORD502117,PROD1213,2023-04-18,Defective/Damaged,1,125.23
RET900140,ORD502118,PROD1116,2023-04-18,Not as Described,1,80.78
RET900141,ORD502121,PROD1207,2023-03-30,Changed Mind,1,31.62
RET900142,ORD502131,PROD1177,2023-04-02,No Longer Needed,1,324.5
RET900143,ORD502132,PROD1203,2023-04-01,Not as Described,1,111.22
RET900144,ORD502139,PROD1191,2023-03-29,Better Price Found,1,42.59
RET900145,ORD502142,PROD1259,2023-03-31,Changed Mind,1,77.67
RET900146,ORD502172,PROD1071,2023-03-24,Changed Mind,3,499.05
RET900147,ORD502201,PROD1001,2023-03-26,No Longer Needed,1,75.12
RET900148,ORD502222,PROD1169,2023-03-27,Better Price Found,1,285.61
RET900149,ORD502269,PROD1232,2023-04-13,Not as Described,1,34.28
RET900150,ORD502278,PROD1091,2023-03-29,Changed Mind,1,208.22
RET900151,ORD502297,PROD1052,2023-04-11,Better Price Found,2,244.82
RET900152,ORD502302,PROD1160,2023-04-01,Size/Fit Issue,1,64.71
RET900153,ORD502309,PROD1016,2023-04-16,Size/Fit Issue,1,16.39
RET900154,ORD502338,PROD1125,2023-04-07,Better Price Found,1,75.85
RET900155,ORD502355,PROD1069,2023-04-23,Not as Described,1,30.25
RET900156,ORD502368,PROD1218,2023-04-23,Defective/Damaged,1,89.62
RET900157,ORD502369,PROD1179,2023-04-27,Not Specified,1,185.55
RET900158,ORD502373,PROD1207,2023-04-16,Defective/Damaged,1,31.62
RET900159,ORD502377,PROD1184,2023-04-10,Size/Fit Issue,1,16.83
RET900160,ORD502378,PROD1204,2023-04-09,Wrong Item Shipped,1,54.71
RET900161,ORD502388,PROD1220,2023-04-25,Size/Fit Issue,1,54.38
RET900162,ORD502389,PROD1147,2023-04-28,Not as Described,1,56.65
RET900163,ORD502436,PROD1001,2023-04-05,Changed Mind,1,89.0
RET900164,ORD502436,PROD1189,2023-04-22,Wrong Item Shipped,1,129.55
RET900165,ORD502462,PROD1028,2023-04-12,Defective/Damaged,1,123.87
RET900166,ORD502518,PROD1150,2023-04-18,No Longer Needed,1,194.91
RET900167,ORD502530,PROD1179,2023-04-07,No Longer Needed,1,185.55
RET900168,ORD502535,PROD1020,2023-04-13,Changed Mind,2,141.94
RET900169,ORD502555,PROD1123,2023-04-12,Defective/Damaged,1,77.79
RET900170,ORD502594,PROD1147,2023-04-10,Changed Mind,1,50.76
RET900171,ORD502595,PROD1165,2023-04-26,Better Price Found,1,63.56
RET900172,ORD502622,PROD1086,2023-04-26,Better Price Found,1,20.0
RET900173,ORD502647,PROD1055,2023-05-07,Better Price Found,1,71.81
RET900174,ORD502654,PROD1080,2023-05-03,Better Price Found,3,254.97
RET900175,ORD502663,PROD1001,2023-05-05,Size/Fit Issue,1,89.0
RET900176,ORD502674,PROD1173,2023-04-13,Changed Mind,1,96.63
RET900177,ORD502690,PROD1147,2023-04-21,Not Specified,1,55.01
RET900178,ORD502701,PROD1152,2023-04-28,No Longer Needed,1,72.99
RET900179,ORD502708,PROD1071,2023-04-26,No Longer Needed,1,150.71
RET900180,ORD502709,PROD1159,2023-04-13,No Longer Needed,1,10.73
RET900181,ORD502710,PROD1012,2023-04-26,Size/Fit Issue,1,214.85
RET900182,ORD502718,PROD1107,2023-05-08,Not as Described,1,132.2
RET900183,ORD502722,PROD1247,2023-04-24,No Longer Needed,1,276.76
RET900184,ORD502723,PROD1235,2023-04-18,Changed Mind,1,56.93
RET900185,ORD502732,PROD1170,2023-04-28,Better Price Found,1,143.39
RET900186,ORD502739,PROD1090,2023-04-29,Size/Fit Issue,1,114.4
RET900187,ORD502739,PROD1082,2023-05-09,Not as Described,1,155.54
RET900188,ORD502743,PROD1136,2023-04-29,Changed Mind,1,21.43
RET900189,ORD502761,PROD1075,2023-04-29,Size/Fit Issue,1,60.21
RET900190,ORD502763,PROD1189,2023-04-30,Wrong Item Shipped,1,129.55
RET900191,ORD502763,PROD1165,2023-04-24,Defective/Damaged,1,66.91
RET900192,ORD502773,PROD1037,2023-04-22,Size/Fit Issue,1,121.73
RET900193,ORD502785,PROD1108,2023-05-01,Better Price Found,1,39.5
RET900194,ORD502798,PROD1147,2023-05-07,Not as Described,3,169.95
RET900195,ORD502813,PROD1020,2023-04-23,No Longer Needed,1,70.97
RET900196,ORD502833,PROD1111,2023-05-04,Size/Fit Issue,1,212.9
RET900197,ORD502841,PROD1119,2023-04-24,Changed Mind,3,334.4
RET900198,ORD502843,PROD1251,2023-05-14,Size/Fit Issue,1,47.09
RET900199,ORD502845,PROD1230,2023-05-04,No Longer Needed,1,138.35
RET900200,ORD502849,PROD1203,2023-05-01,Better Price Found,1,111.22
RET900201,ORD502857,PROD1020,2023-05-04,Changed Mind,2,103.33
RET900202,ORD502867,PROD1160,2023-04-28,Not as Described,1,60.5
RET900203,ORD502867,PROD1170,2023-05-01,Defective/Damaged,1,134.64
RET900204,ORD502899,PROD1126,2023-05-04,Size/Fit Issue,1,160.56
RET900205,ORD502901,PROD1107,2023-05-08,Defective/Damaged,2,218.39
RET900206,ORD502905,PROD1207,2023-04-19,Changed Mind,1,27.26
RET900207,ORD502906,PROD1016,2023-05-05,Better Price Found,1,13.13
RET900208,ORD502916,PROD1251,2023-04-22,Wrong Item Shipped,1,41.72
RET900209,ORD502917,PROD1179,2023-04-22,Defective/Damaged,1,152.34
RET900210,ORD502917,PROD1251,2023-04-21,No Longer Needed,1,39.04
RET900211,ORD502943,PROD1130,2023-05-16,Changed Mind,3,230.49
RET900212,ORD502966,PROD1012,2023-04-26,Not as Described,1,214.85
RET900213,ORD503000,PROD1207,2023-05-09,Size/Fit Issue,1,31.62
RET900214,ORD503009,PROD1001,2023-04-26,Not as Described,1,89.0
RET900215,ORD503016,PROD1054,2023-05-09,Size/Fit Issue,1,9.39
RET900216,ORD503061,PROD1160,2023-05-18,Wrong Item Shipped,1,60.12
RET900217,ORD503120,PROD1096,2023-05-07,Better Price Found,2,246.0
RET900218,ORD503149,PROD1068,2023-05-15,Defective/Damaged,1,72.86
RET900219,ORD503158,PROD1122,2023-05-05,Size/Fit Issue,1,35.66
RET900220,ORD503180,PROD1068,2023-05-17,No Longer Needed,1,65.28
RET900221,ORD503185,PROD1207,2023-05-04,Not as Described,1,31.62
RET900222,ORD503189,PROD1044,2023-05-21,Changed Mind,1,140.87
RET900223,ORD503199,PROD1051,2023-05-14,Changed Mind,1,111.06
RET900224,ORD503219,PROD1115,2023-05-24,Wrong Item Shipped,1,126.42
RET900225,ORD503243,PROD1259,2023-05-25,Not Specified,1,66.49
RET900226,ORD503272,PROD1201,2023-05-23,No Longer Needed,1,84.38
RET900227,ORD503276,PROD1237,2023-05-04,Defective/Damaged,1,190.21
RET900228,ORD503281,PROD1258,2023-05-27,Size/Fit Issue,1,128.51
RET900229,ORD503300,PROD1128,2023-05-12,Changed Mind,1,197.74
RET900230,ORD503302,PROD1079,2023-05-11,Changed Mind,1,207.51
RET900231,ORD503305,PROD1001,2023-05-09,Size/Fit Issue,1,77.16
RET900232,ORD503318,PROD1140,2023-05-11,Not as Described,1,88.98
RET900233,ORD503325,PROD1124,2023-05-21,No Longer Needed,1,37.16
RET900234,ORD503332,PROD1136,2023-05-31,Changed Mind,2,57.08
RET900235,ORD503333,PROD1121,2023-05-29,Defective/Damaged,1,104.1
RET900236,ORD503344,PROD1065,2023-05-16,Defective/Damaged,1,66.51
RET900237,ORD503359,PROD1063,2023-05-24,Not as Described,1,108.53
RET900238,ORD503430,PROD1104,2023-05-21,Better Price Found,1,37.88
RET900239,ORD503471,PROD1203,2023-05-31,Defective/Damaged,1,111.22
RET900240,ORD503503,PROD1115,2023-05-20,Not as Described,1,126.42
RET900241,ORD503524,PROD1003,2023-06-06,Defective/Damaged,2,163.87
RET900242,ORD503538,PROD1258,2023-05-31,Size/Fit Issue,1,128.51
RET900243,ORD503554,PROD1049,2023-05-26,Defective/Damaged,1,54.38
RET900244,ORD503563,PROD1258,2023-05-17,Defective/Damaged,1,128.51
RET900245,ORD503565,PROD1101,2023-05-16,Changed Mind,2,499.16
RET900246,ORD503602,PROD1012,2023-06-08,Wrong Item Shipped,1,206.9
RET900247,ORD503607,PROD1248,2023-06-07,Wrong Item Shipped,1,315.49
RET900248,ORD503615,PROD1167,2023-05-16,No Longer Needed,1,16.48
RET900249,ORD503644,PROD1234,2023-05-30,Size/Fit Issue,1,195.0
RET900250,ORD503649,PROD1107,2023-05-31,No Longer Needed,1,102.85
RET900251,ORD503667,PROD1015,2023-06-11,Size/Fit Issue,1,118.79
RET900252,ORD503717,PROD1031,2023-06-03,Size/Fit Issue,2,123.36
RET900253,ORD503743,PROD1152,2023-05-23,Better Price Found,1,86.17
RET900254,ORD503744,PROD1001,2023-06-11,Defective/Damaged,1,83.04
RET900255,ORD503758,PROD1001,2023-05-25,Wrong Item Shipped,2,178.0
RET900256,ORD503798,PROD1025,2023-06-07,No Longer Needed,1,172.03
RET900257,ORD503808,PROD1020,2023-05-21,Size/Fit Issue,1,70.97
RET900258,ORD503828,PROD1147,2023-06-01,Not as Described,1,56.65
RET900259,ORD503834,PROD1090,2023-06-09,Defective/Damaged,2,299.48
RET900260,ORD503905,PROD1107,2023-05-31,Changed Mind,1,132.2
RET900261,ORD503953,PROD1249,2023-05-31,Defective/Damaged,2,40.0
RET900262,ORD503962,PROD1094,2023-06-07,No Longer Needed,1,15.04
RET900263,ORD503963,PROD1149,2023-06-20,Size/Fit Issue,1,99.21
RET900264,ORD503968,PROD1204,2023-06-19,Defective/Damaged,1,46.83
RET900265,ORD503984,PROD1041,2023-06-09,Defective/Damaged,1,296.46
RET900266,ORD503988,PROD1249,2023-06-16,Wrong Item Shipped,2,159.5
RET900267,ORD504001,PROD1166,2023-06-17,Not as Described,1,129.23
RET900268,ORD504002,PROD1015,2023-06-18,Better Price Found,1,97.76
RET900269,ORD504007,PROD1135,2023-06-02,Size/Fit Issue,1,109.82
RET900270,ORD504008,PROD1140,2023-06-12,Size/Fit Issue,1,98.1
RET900271,ORD504025,PROD1044,2023-06-17,Defective/Damaged,1,140.87
RET900272,ORD504029,PROD1147,2023-06-25,Wrong Item Shipped,1,56.65
RET900273,ORD504039,PROD1047,2023-06-02,Wrong Item Shipped,1,13.48
RET900274,ORD504052,PROD1179,2023-06-03,Not as Described,1,155.86
RET900275,ORD504061,PROD1236,2023-06-07,Changed Mind,1,102.54
RET900276,ORD504070,PROD1059,2023-06-13,Not as Described,1,38.65
RET900277,ORD504094,PROD1094,2023-06-28,Better Price Found,1,19.08
RET900278,ORD504097,PROD1015,2023-06-23,Size/Fit Issue,1,118.79
RET900279,ORD504103,PROD1165,2023-06-15,Changed Mind,1,66.91
RET900280,ORD504103,PROD1025,2023-06-23,Changed Mind,1,228.16
RET900281,ORD504145,PROD1258,2023-06-12,Changed Mind,1,128.51
RET900282,ORD504153,PROD1123,2023-06-13,Size/Fit Issue,1,61.53
RET900283,ORD504164,PROD1239,2023-06-30,Better Price Found,1,29.99
RET900284,ORD504172,PROD1064,2023-06-24,Not as Described,1,53.79
RET900285,ORD504188,PROD1140,2023-06-11,No Longer Needed,1,98.1
RET900286,ORD504220,PROD1209,2023-06-19,No Longer Needed,2,40.4
RET900287,ORD504232,PROD1140,2023-06-09,Defective/Damaged,1,98.1
RET900288,ORD504249,PROD1079,2023-06-10,No Longer Needed,1,194.44
RET900289,ORD504251,PROD1173,2023-06-08,Wrong Item Shipped,1,82.33
RET900290,ORD504264,PROD1258,2023-06-21,No Longer Needed,1,108.46
RET900291,ORD504280,PROD1253,2023-06-17,No Longer Needed,1,36.57
RET900292,ORD504284,PROD1128,2023-07-01,Not as Described,1,165.77
RET900293,ORD504289,PROD1234,2023-06-25,Defective/Damaged,1,219.37
RET900294,ORD504300,PROD1001,2023-07-01,Not as Described,1,89.0
RET900295,ORD504306,PROD1008,2023-07-07,Wrong Item Shipped,1,150.9
RET900296,ORD504310,PROD1203,2023-06-14,No Longer Needed,1,111.22
RET900297,ORD504316,PROD1249,2023-06-16,No Longer Needed,2,159.5
RET900298,ORD504332,PROD1137,2023-06-13,Defective/Damaged,1,111.78
RET900299,ORD504337,PROD1169,2023-06-20,Not Specified,1,273.04
RET900300,ORD504349,PROD1030,2023-06-16,Defective/Damaged,1,60.2
RET900301,ORD504353,PROD1186,2023-07-06,Defective/Damaged,1,88.95
RET900302,ORD504360,PROD1115,2023-06-19,Wrong Item Shipped,1,126.42
RET900303,ORD504360,PROD1057,2023-06-26,Wrong Item Shipped,1,47.42
RET900304,ORD504364,PROD1011,2023-07-07,Wrong Item Shipped,1,213.7
RET900305,ORD504369,PROD1090,2023-06-23,No Longer Needed,1,149.74
RET900306,ORD504390,PROD1090,2023-06-21,Changed Mind,1,149.74
RET900307,ORD504406,PROD1101,2023-06-21,Changed Mind,1,249.58
RET900308,ORD504435,PROD1001,2023-06-14,Defective/Damaged,1,89.0
RET900309,ORD504445,PROD1061,2023-06-25,Wrong Item Shipped,1,16.45
RET900310,ORD504447,PROD1173,2023-06-24,Better Price Found,1,96.63
RET900311,ORD504475,PROD1001,2023-06-28,Size/Fit Issue,1,89.0
RET900312,ORD504488,PROD1037,2023-07-13,No Longer Needed,1,121.73
RET900313,ORD504488,PROD1216,2023-06-24,No Longer Needed,1,260.5
RET900314,ORD504553,PROD1159,2023-07-03,Defective/Damaged,1,12.52
RET900315,ORD504588,PROD1224,2023-07-04,Size/Fit Issue,1,256.54
RET900316,ORD504591,PROD1258,2023-06-22,Not Specified,1,128.51
RET900317,ORD504603,PROD1090,2023-07-06,Changed Mind,1,149.74
RET900318,ORD504610,PROD1204,2023-06-24,Size/Fit Issue,1,54.71
RET900319,ORD504616,PROD1135,2023-07-06,No Longer Needed,1,109.82
RET900320,ORD504619,PROD1190,2023-07-08,Better Price Found,1,144.06
RET900321,ORD504625,PROD1020,2023-07-17,Changed Mind,1,70.97
RET900322,ORD504653,PROD1255,2023-07-15,No Longer Needed,1,105.19
RET900323,ORD504662,PROD1065,2023-06-24,Wrong Item Shipped,1,61.32
RET900324,ORD504667,PROD1008,2023-07-15,No Longer Needed,1,150.9
RET900325,ORD504671,PROD1001,2023-07-02,Defective/Damaged,1,89.0
RET900326,ORD504680,PROD1137,2023-07-15,Size/Fit Issue,1,111.78
RET900327,ORD504724,PROD1001,2023-07-13,Size/Fit Issue,1,89.0
RET900328,ORD504753,PROD1137,2023-07-02,No Longer Needed,1,111.78
RET900329,ORD504790,PROD1065,2023-07-17,No Longer Needed,1,56.07
RET900330,ORD504791,PROD1096,2023-06-29,No Longer Needed,1,123.0
RET900331,ORD504813,PROD1253,2023-07-03,Wrong Item Shipped,1,36.57
RET900332,ORD504813,PROD1136,2023-07-07,Defective/Damaged,1,28.54
RET900333,ORD504817,PROD1080,2023-07-05,Changed Mind,1,84.99
RET900334,ORD504835,PROD1107,2023-07-17,Better Price Found,1,132.2
RET900335,ORD504849,PROD1259,2023-07-25,No Longer Needed,1,64.78
RET900336,ORD504872,PROD1136,2023-07-08,Not as Described,1,28.54
RET900337,ORD504875,PROD1189,2023-07-18,Defective/Damaged,1,129.55
RET900338,ORD504883,PROD1107,2023-07-25,Wrong Item Shipped,1,132.2
RET900339,ORD504889,PROD1207,2023-07-13,Changed Mind,2,55.15
RET900340,ORD504901,PROD1115,2023-07-28,Not as Described,1,126.42
RET900341,ORD504908,PROD1213,2023-07-07,Changed Mind,3,319.17
RET900342,ORD504917,PROD1159,2023-07-19,Not as Described,1,12.52
RET900343,ORD504929,PROD1020,2023-07-19,Size/Fit Issue,1,67.63
RET900344,ORD504935,PROD1246,2023-07-19,Changed Mind,1,166.72
RET900345,ORD504946,PROD1066,2023-07-11,Changed Mind,1,126.35
RET900346,ORD504951,PROD1090,2023-07-26,Wrong Item Shipped,3,384.53
RET900347,ORD504964,PROD1248,2023-07-12,Size/Fit Issue,1,315.49
RET900348,ORD504986,PROD1101,2023-07-13,Changed Mind,1,249.58
RET900349,ORD505008,PROD1169,2023-07-19,Size/Fit Issue,2,571.22
RET900350,ORD505018,PROD1228,2023-07-16,Wrong Item Shipped,1,114.29
RET900351,ORD505023,PROD1249,2023-07-29,Not Specified,1,79.75
RET900352,ORD505034,PROD1165,2023-07-23,No Longer Needed,1,66.91
RET900353,ORD505086,PROD1117,2023-07-14,Size/Fit Issue,1,154.2
RET900354,ORD505092,PROD1247,2023-07-27,No Longer Needed,1,244.38
RET900355,ORD505132,PROD1012,2023-07-25,Defective/Damaged,1,214.85
RET900356,ORD505134,PROD1173,2023-07-31,Size/Fit Issue,1,96.63
RET900357,ORD505169,PROD1012,2023-07-29,Defective/Damaged,1,214.85
RET900358,ORD505170,PROD1107,2023-07-15,No Longer Needed,1,132.2
RET900359,ORD505174,PROD1111,2023-07-22,No Longer Needed,1,174.37
RET900360,ORD505179,PROD1072,2023-08-09,No Longer Needed,1,37.9
RET900361,ORD505208,PROD1001,2023-07-17,Wrong Item Shipped,1,89.0
RET900362,ORD505238,PROD1152,2023-07-22,Changed Mind,1,86.17
RET900363,ORD505271,PROD1107,2023-07-20,No Longer Needed,2,226.59
