customer_id,signup_date,gender,age,city,country,acquisition_channel,customer_segment
CUST104043,2024-09-10,Other/Undisclosed,26,Atlanta,Usa,Social Media,Budget
CUST102929,2024-03-28,Female,37,Miami,Usa,Paid Search,Premium
CUST103352,2024-05-29,Male,38,Houston,Usa,Affiliate,Mainstream
CUST102833,2024-03-12,Female,41,Houston,Usa,Organic Search,Mainstream
CUST101055,2023-06-12,Male,29,Chicago,Usa,Referral,Premium
CUST102972,2024-04-02,Other/Undisclosed,33,Los Angeles,Usa,Paid Search,Premium
CUST105700,2025-06-04,Female,39,Minneapolis,Usa,Organic Search,Mainstream
CUST103050,2024-04-17,Male,33,Vancouver,Canada,Paid Search,Budget
CUST106731,2025-11-18,Male,18,Chicago,Usa,Organic Search,Mainstream
CUST101535,2023-08-21,Female,32,Miami,Usa,Paid Search,Mainstream
CUST100496,2023-03-20,Female,22,Boston,Usa,Direct,Mainstream
CUST106460,2025-10-09,Female,43,Austin,Usa,Organic Search,Mainstream
CUST104290,2024-10-22,Male,38,Seattle,Usa,Referral,Premium
CUST102887,2024-03-22,Female,25,Denver,Usa,Email,Premium
CUST101862,2023-10-13,Female,39,New York,Usa,Referral,Premium
CUST106956,2025-12-23,Female,43,Denver,Usa,Email,Budget
CUST105093,2025-03-07,Female,41,Austin,Usa,Direct,Budget
CUST100332,2023-02-23,Female,36,Los Angeles,Usa,Social Media,Budget
CUST106442,2025-10-07,Male,35,Houston,Usa,Direct,Mainstream
CUST103936,2024-08-26,Female,36,Denver,Usa,Social Media,Mainstream
CUST104520,2024-11-29,Female,46,San Diego,Usa,Referral,Mainstream
CUST102107,2023-11-20,Male,37,New York,Usa,Direct,Premium
CUST104650,2024-12-20,Female,20,Calgary,Canada,Referral,Mainstream
CUST101803,2023-10-05,Female,36,Vancouver,Canada,Affiliate,Budget
CUST101046,2023-06-10,Other/Undisclosed,18,San Diego,Usa,Direct,Mainstream
CUST104458,2024-11-17,Female,36,Seattle,Usa,Organic Search,Premium
CUST105469,2025-04-30,Female,18,Seattle,Usa,Direct,Mainstream
CUST101775,2023-09-29,Male,41,Minneapolis,Usa,Social Media,Mainstream
CUST102063,2023-11-13,Female,32,Phoenix,Usa,Paid Search,Premium
CUST100050,2023-01-08,Male,31,Portland,Usa,Paid Search,Mainstream
CUST103091,2024-04-23,Male,27,Toronto,Canada,Social Media,Mainstream
CUST100576,2023-04-04,Male,31,Houston,Usa,Paid Search,Budget
CUST106099,2025-08-06,Female,31,Seattle,Usa,Organic Search,Mainstream
CUST100230,2023-02-08,Male,48,Toronto,Canada,Organic Search,Mainstream
CUST101992,2023-11-04,Female,27,Phoenix,Usa,Affiliate,Budget
CUST105719,2025-06-08,Female,30,Austin,Usa,Paid Search,Budget
CUST101801,2023-10-04,Male,30,Atlanta,Usa,Social Media,Mainstream
CUST106344,2025-09-22,Female,23,Chicago,Usa,Paid Search,Budget
CUST106177,2025-08-20,Male,27,San Diego,Usa,Email,Premium
CUST101221,2023-07-05,Female,37,Montreal,Canada,Email,Mainstream
CUST100319,2023-02-21,Male,50,San Diego,Usa,Social Media,Mainstream
CUST100764,2023-04-29,Male,36,Montreal,Canada,Paid Search,Premium
CUST104401,2024-11-07,Male,18,Dallas,Usa,Email,Mainstream
CUST102941,2024-03-29,Male,42,Denver,Usa,Social Media,Mainstream
CUST102716,2024-02-21,Female,18,Denver,Usa,Organic Search,Mainstream
CUST100132,2023-01-24,Male,44,Houston,Usa,Referral,Mainstream
CUST105391,2025-04-17,Male,33,Minneapolis,Usa,Social Media,Premium
CUST101005,2023-06-03,Female,38,San Diego,Usa,Social Media,Premium
CUST100734,2023-04-25,Female,55,Seattle,Usa,Organic Search,Budget
CUST105314,2025-04-08,Male,34,Montreal,Canada,Organic Search,Mainstream
CUST106129,2025-08-12,Male,40,Chicago,Usa,Organic Search,Budget
CUST106440,2025-10-06,Male,36,Miami,Usa,Organic Search,Budget
CUST100538,2023-03-27,Female,22,Portland,Usa,Social Media,Mainstream
CUST103771,2024-08-02,Male,23,Seattle,Usa,Organic Search,Mainstream
CUST104634,2024-12-18,Female,37,Calgary,Canada,Referral,Mainstream
CUST103664,2024-07-19,Male,51,Nashville,Usa,Paid Search,Mainstream
CUST104392,2024-11-06,Female,38,Atlanta,Usa,Referral,Mainstream
CUST104314,2024-10-26,Female,40,Los Angeles,Usa,Direct,Mainstream
CUST104898,2025-02-03,Other/Undisclosed,45,Nashville,Usa,Email,Mainstream
CUST102726,2024-02-24,Female,33,Montreal,Canada,Organic Search,Budget
CUST103994,2024-09-03,Male,52,Montreal,Canada,Direct,Mainstream
CUST100642,2023-04-13,Female,27,Vancouver,Canada,Paid Search,Premium
CUST103450,2024-06-12,Male,39,Calgary,Canada,Email,Budget
CUST104506,2024-11-26,Female,43,Atlanta,Usa,Email,Premium
CUST106976,2025-12-27,Female,45,Boston,Usa,Email,Budget
CUST101153,2023-06-25,Female,35,Boston,Usa,Email,Mainstream
CUST100534,2023-03-27,Female,18,Nashville,Usa,Social Media,Mainstream
CUST102687,2024-02-17,Female,28,Los Angeles,Usa,Organic Search,Mainstream
CUST106667,2025-11-08,Male,36,Toronto,Canada,Social Media,Mainstream
CUST102476,2024-01-11,Male,18,Nashville,Usa,Paid Search,Mainstream
CUST103123,2024-04-27,Female,38,Chicago,Usa,Social Media,Mainstream
CUST105773,2025-06-18,Male,47,New York,Usa,Social Media,Mainstream
CUST106240,2025-08-31,Female,37,Denver,Usa,Email,Premium
CUST105886,2025-07-06,Male,31,Nashville,Usa,Organic Search,Mainstream
CUST104317,2024-10-27,Male,47,Los Angeles,Usa,Organic Search,Premium
CUST104001,2024-09-04,Male,53,New York,Usa,Direct,Mainstream
CUST100472,2023-03-16,Female,23,Denver,Usa,Paid Search,Mainstream
CUST105803,2025-06-23,Male,18,Chicago,Usa,Paid Search,Budget
CUST105046,2025-02-27,Male,42,Atlanta,Usa,Social Media,Premium
CUST102498,2024-01-14,Male,29,Chicago,Usa,Affiliate,Premium
CUST101954,2023-10-28,Male,29,Austin,Usa,Direct,Mainstream
CUST101657,2023-09-13,Male,38,Houston,Usa,Paid Search,Premium
CUST105103,2025-03-08,Other/Undisclosed,46,Denver,Usa,Email,Mainstream
CUST105255,2025-03-30,Female,28,Phoenix,Usa,Social Media,Premium
CUST106633,2025-11-01,Male,46,Seattle,Usa,Organic Search,Mainstream
CUST103621,2024-07-10,Female,42,Miami,Usa,Referral,Budget
CUST100079,2023-01-13,Female,28,Calgary,Canada,Email,Budget
CUST100217,2023-02-05,Male,30,Dallas,Usa,Affiliate,Mainstream
CUST105633,2025-05-26,Male,40,Portland,Usa,Social Media,Budget
CUST101079,2023-06-15,Female,25,Nashville,Usa,Direct,Premium
CUST101467,2023-08-09,Female,36,Houston,Usa,Organic Search,Mainstream
CUST105540,2025-05-11,Female,25,Miami,Usa,Referral,Budget
CUST101918,2023-10-23,Female,38,Miami,Usa,Affiliate,Mainstream
CUST101451,2023-08-07,Male,42,Atlanta,Usa,Organic Search,Budget
CUST102688,2024-02-17,Male,18,Houston,Usa,Paid Search,Budget
CUST104077,2024-09-16,Female,18,Vancouver,Canada,Paid Search,Mainstream
CUST100500,2023-03-20,Male,47,Houston,Usa,Organic Search,Mainstream
CUST105050,2025-02-28,Male,23,New York,Usa,Social Media,Mainstream
CUST100833,2023-05-10,Female,31,Minneapolis,Usa,Paid Search,Mainstream
CUST106519,2025-10-16,Male,39,Seattle,Usa,Direct,Budget
CUST106774,2025-11-26,Female,34,Atlanta,Usa,Social Media,Mainstream
CUST101582,2023-08-31,Female,32,Austin,Usa,Email,Budget
CUST100393,2023-03-05,Female,18,Calgary,Canada,Referral,Budget
CUST102273,2023-12-14,Female,51,Boston,Usa,Social Media,Budget
CUST106649,2025-11-04,Male,18,Calgary,Canada,Paid Search,Premium
CUST104584,2024-12-11,Female,36,Calgary,Canada,Referral,Budget
CUST105837,2025-06-28,Female,35,Austin,Usa,Affiliate,Mainstream
CUST106618,2025-10-30,Female,30,Dallas,Usa,Paid Search,Budget
CUST100381,2023-03-03,Male,36,Minneapolis,Usa,Organic Search,Premium
CUST100457,2023-03-15,Male,42,Dallas,Usa,Social Media,Premium
CUST106183,2025-08-20,Female,40,Dallas,Usa,Social Media,Mainstream
CUST102952,2024-03-30,Female,26,Portland,Usa,Paid Search,Mainstream
CUST103316,2024-05-25,Male,20,Toronto,Canada,Social Media,Budget
CUST103774,2024-08-03,Male,32,Atlanta,Usa,Organic Search,Mainstream
CUST101669,2023-09-15,Female,34,Dallas,Usa,Paid Search,Budget
CUST100469,2023-03-16,Female,38,Portland,Usa,Direct,Mainstream
CUST102592,2024-02-01,Male,48,Miami,Usa,Direct,Budget
CUST105070,2025-03-03,Male,47,Toronto,Canada,Referral,Budget
CUST106438,2025-10-06,Male,60,Dallas,Usa,Organic Search,Budget
CUST105640,2025-05-27,Female,27,Montreal,Canada,Organic Search,Budget
CUST104056,2024-09-12,Female,33,Boston,Usa,Paid Search,Mainstream
CUST103768,2024-08-02,Male,28,Denver,Usa,Social Media,Budget
CUST100408,2023-03-07,Female,36,Denver,Usa,Organic Search,Premium
CUST101859,2023-10-12,Male,18,Austin,Usa,Social Media,Mainstream
CUST103689,2024-07-23,Male,32,Austin,Usa,Email,Budget
CUST102206,2023-12-04,Male,65,New York,Usa,Paid Search,Mainstream
CUST103320,2024-05-26,Male,39,Toronto,Canada,Organic Search,Mainstream
CUST103475,2024-06-19,Female,18,Seattle,Usa,Organic Search,Premium
CUST101320,2023-07-20,Male,31,Portland,Usa,Social Media,Budget
CUST103142,2024-05-01,Female,25,Denver,Usa,Social Media,Mainstream
CUST103844,2024-08-12,Female,40,Atlanta,Usa,Organic Search,Budget
CUST100435,2023-03-11,Female,43,New York,Usa,Social Media,Mainstream
CUST102138,2023-11-24,Female,26,Houston,Usa,Referral,Budget
CUST103276,2024-05-19,Female,64,Portland,Usa,Affiliate,Premium
CUST105091,2025-03-06,Female,23,Vancouver,Canada,Social Media,Budget
CUST103574,2024-07-05,Male,33,Los Angeles,Usa,Email,Mainstream
CUST104053,2024-09-12,Female,33,Austin,Usa,Email,Mainstream
CUST106182,2025-08-20,Male,33,Atlanta,Usa,Affiliate,Premium
CUST103692,2024-07-24,Female,34,Minneapolis,Usa,Paid Search,Budget
CUST100321,2023-02-21,Male,34,Denver,Usa,Social Media,Budget
CUST104015,2024-09-07,Female,20,New York,Usa,Paid Search,Budget
CUST106003,2025-07-22,Female,35,Houston,Usa,Paid Search,Mainstream
CUST106688,2025-11-11,Female,41,Seattle,Usa,Email,Premium
CUST106570,2025-10-22,Female,22,Boston,Usa,Email,Budget
CUST105488,2025-05-03,Female,49,Houston,Usa,Social Media,Mainstream
CUST100676,2023-04-17,Male,19,Chicago,Usa,Organic Search,Premium
CUST101550,2023-08-24,Female,19,Seattle,Usa,Email,Budget
CUST101009,2023-06-04,Female,18,Unknown,Usa,Social Media,Premium
CUST102470,2024-01-10,Female,35,Denver,Usa,Organic Search,Mainstream
CUST102298,2023-12-17,Male,48,Boston,Usa,Organic Search,Mainstream
CUST102191,2023-12-01,Female,38,Nashville,Usa,Direct,Budget
CUST105130,2025-03-13,Female,51,Atlanta,Usa,Paid Search,Mainstream
CUST105678,2025-06-01,Male,34,Atlanta,Usa,Organic Search,Mainstream
CUST102549,2024-01-22,Female,29,San Diego,Usa,Paid Search,Mainstream
CUST101965,2023-10-30,Male,37,Minneapolis,Usa,Paid Search,Mainstream
CUST105819,2025-06-25,Female,31,Toronto,Canada,Paid Search,Premium
CUST103852,2024-08-13,Male,30,Portland,Usa,Affiliate,Budget
CUST103425,2024-06-08,Female,18,Denver,Usa,Paid Search,Premium
CUST104639,2024-12-19,Female,39,Miami,Usa,Social Media,Budget
CUST103570,2024-07-04,Male,46,Minneapolis,Usa,Paid Search,Budget
CUST101421,2023-08-04,Female,26,Nashville,Usa,Organic Search,Budget
CUST106375,2025-09-27,Female,22,Seattle,Usa,Direct,Budget
CUST104391,2024-11-06,Male,44,Seattle,Usa,Affiliate,Budget
CUST106499,2025-10-14,Female,43,San Diego,Usa,Referral,Mainstream
CUST102575,2024-01-29,Female,27,Minneapolis,Usa,Direct,Premium
CUST105804,2025-06-24,Female,45,Dallas,Usa,Organic Search,Premium
CUST105775,2025-06-19,Female,40,Miami,Usa,Paid Search,Mainstream
CUST104477,2024-11-22,Male,54,Calgary,Canada,Paid Search,Mainstream
CUST105934,2025-07-13,Male,36,Montreal,Canada,Organic Search,Budget
CUST105589,2025-05-20,Female,21,Nashville,Usa,Paid Search,Mainstream
CUST100706,2023-04-21,Female,53,Denver,Usa,Paid Search,Premium
CUST100185,2023-01-31,Female,18,Los Angeles,Usa,Email,Premium
CUST104578,2024-12-10,Other/Undisclosed,51,Dallas,Usa,Organic Search,Mainstream
CUST102112,2023-11-21,Female,44,Dallas,Usa,Social Media,Budget
CUST104376,2024-11-04,Male,40,Denver,Usa,Email,Premium
CUST102022,2023-11-08,Female,56,Atlanta,Usa,Social Media,Budget
CUST101703,2023-09-20,Female,29,New York,Usa,Social Media,Mainstream
CUST106443,2025-10-07,Male,36,San Diego,Usa,Organic Search,Budget
CUST101600,2023-09-03,Male,37,New York,Usa,Organic Search,Mainstream
CUST102117,2023-11-21,Male,25,Atlanta,Usa,Paid Search,Mainstream
CUST103891,2024-08-19,Female,18,Calgary,Canada,Paid Search,Budget
CUST101425,2023-08-04,Female,22,Boston,Usa,Paid Search,Mainstream
CUST104649,2024-12-20,Female,55,Los Angeles,Usa,Referral,Mainstream
CUST105432,2025-04-24,Female,48,Atlanta,Usa,Paid Search,Budget
CUST106367,2025-09-26,Male,27,Denver,Usa,Organic Search,Budget
CUST104166,2024-10-02,Male,35,Austin,Usa,Social Media,Premium
CUST101261,2023-07-11,Female,35,Calgary,Canada,Email,Mainstream
CUST104102,2024-09-20,Female,59,Montreal,Canada,Organic Search,Budget
CUST101586,2023-09-01,Male,51,Atlanta,Usa,Organic Search,Premium
CUST103297,2024-05-22,Female,58,Atlanta,Usa,Email,Premium
CUST102939,2024-03-29,Male,18,Seattle,Usa,Paid Search,Mainstream
CUST106526,2025-10-17,Male,30,Nashville,Usa,Direct,Budget
CUST104072,2024-09-14,Female,34,Miami,Usa,Email,Premium
CUST106957,2025-12-23,Female,37,Dallas,Usa,Paid Search,Mainstream
CUST103803,2024-08-06,Female,36,Nashville,Usa,Paid Search,Mainstream
CUST103328,2024-05-26,Male,19,Austin,Usa,Social Media,Mainstream
CUST103715,2024-07-26,Female,40,Los Angeles,Usa,Paid Search,Mainstream
CUST101020,2023-06-06,Female,44,Atlanta,Usa,Referral,Premium
CUST103098,2024-04-24,Female,25,Denver,Usa,Direct,Premium
CUST104823,2025-01-19,Male,26,San Diego,Usa,Paid Search,Premium
CUST103442,2024-06-12,Female,25,Nashville,Usa,Social Media,Budget
CUST101499,2023-08-15,Male,40,Toronto,Canada,Paid Search,Budget
CUST101420,2023-08-03,Female,37,Dallas,Usa,Organic Search,Mainstream
CUST102168,2023-11-27,Male,37,Miami,Usa,Direct,Mainstream
CUST100712,2023-04-22,Female,57,Denver,Usa,Social Media,Mainstream
CUST101672,2023-09-15,Male,25,Phoenix,Usa,Social Media,Budget
CUST102441,2024-01-06,Male,18,Atlanta,Usa,Social Media,Mainstream
CUST103306,2024-05-23,Female,35,Seattle,Usa,Referral,Mainstream
CUST102515,2024-01-17,Female,58,Toronto,Canada,Organic Search,Mainstream
CUST102317,2023-12-20,Female,33,Nashville,Usa,Referral,Budget
CUST101729,2023-09-24,Female,39,Atlanta,Usa,Paid Search,Budget
CUST101061,2023-06-12,Female,32,Vancouver,Canada,Email,Budget
CUST103044,2024-04-17,Female,27,San Diego,Usa,Social Media,Mainstream
CUST101562,2023-08-26,Female,40,Nashville,Usa,Direct,Mainstream
CUST104034,2024-09-09,Female,21,Los Angeles,Usa,Paid Search,Mainstream
CUST102029,2023-11-09,Male,28,Minneapolis,Usa,Email,Mainstream
CUST105816,2025-06-25,Male,50,Phoenix,Usa,Organic Search,Mainstream
CUST103532,2024-06-28,Female,25,Montreal,Canada,Organic Search,Premium
CUST100169,2023-01-28,Male,35,Houston,Usa,Organic Search,Mainstream
CUST101372,2023-07-27,Male,18,Toronto,Canada,Organic Search,Budget
CUST103979,2024-09-01,Male,26,Minneapolis,Usa,Social Media,Premium
CUST105690,2025-06-03,Female,33,Boston,Usa,Email,Mainstream
CUST100429,2023-03-10,Male,19,San Diego,Usa,Affiliate,Budget
CUST106901,2025-12-16,Female,30,Los Angeles,Usa,Organic Search,Mainstream
CUST104522,2024-11-29,Male,29,Dallas,Usa,Social Media,Premium
CUST106221,2025-08-28,Other/Undisclosed,64,Phoenix,Usa,Direct,Mainstream
CUST105846,2025-06-30,Female,25,Minneapolis,Usa,Paid Search,Premium
CUST101022,2023-06-06,Male,50,San Diego,Usa,Organic Search,Mainstream
CUST102415,2024-01-02,Male,39,Dallas,Usa,Social Media,Budget
CUST101720,2023-09-22,Female,44,Austin,Usa,Social Media,Mainstream
CUST105162,2025-03-17,Other/Undisclosed,48,Minneapolis,Usa,Email,Budget
CUST104228,2024-10-12,Male,25,Toronto,Canada,Direct,Premium
CUST101617,2023-09-05,Male,45,Unknown,Usa,Organic Search,Mainstream
CUST104664,2024-12-22,Female,33,Los Angeles,Usa,Direct,Budget
CUST100179,2023-01-30,Female,27,Montreal,Canada,Email,Budget
CUST101047,2023-06-10,Female,22,Dallas,Usa,Organic Search,Budget
CUST105641,2025-05-27,Male,36,Phoenix,Usa,Organic Search,Mainstream
CUST102605,2024-02-04,Other/Undisclosed,18,Nashville,Usa,Direct,Premium
CUST100503,2023-03-20,Female,42,New York,Usa,Affiliate,Mainstream
CUST104836,2025-01-22,Male,22,Nashville,Usa,Referral,Budget
CUST100511,2023-03-22,Female,43,Dallas,Usa,Organic Search,Mainstream
CUST103414,2024-06-07,Male,41,Miami,Usa,Social Media,Mainstream
CUST105100,2025-03-08,Female,29,Montreal,Canada,Email,Mainstream
CUST104046,2024-09-10,Female,18,New York,Usa,Affiliate,Mainstream
CUST101477,2023-08-10,Female,50,Los Angeles,Usa,Email,Mainstream
CUST104733,2025-01-05,Male,47,Austin,Usa,Direct,Mainstream
CUST104060,2024-09-13,Male,50,Dallas,Usa,Email,Premium
CUST100168,2023-01-28,Female,24,Minneapolis,Usa,Direct,Budget
CUST104438,2024-11-13,Female,27,Portland,Usa,Direct,Mainstream
CUST103214,2024-05-09,Male,31,San Diego,Usa,Paid Search,Premium
CUST106461,2025-10-09,Female,52,Calgary,Canada,Paid Search,Mainstream
CUST106482,2025-10-12,Other/Undisclosed,49,Dallas,Usa,Email,Mainstream
CUST102981,2024-04-03,Female,53,Toronto,Canada,Organic Search,Mainstream
CUST100752,2023-04-27,Female,39,Phoenix,Usa,Organic Search,Mainstream
CUST102473,2024-01-10,Other/Undisclosed,32,Houston,Usa,Organic Search,Budget
CUST105777,2025-06-19,Female,32,Boston,Usa,Social Media,Premium
CUST101595,2023-09-02,Female,26,New York,Usa,Referral,Premium
CUST102447,2024-01-07,Male,26,New York,Usa,Organic Search,Mainstream
CUST106021,2025-07-24,Male,18,New York,Usa,Email,Premium
CUST103285,2024-05-20,Female,18,Minneapolis,Usa,Organic Search,Budget
CUST106275,2025-09-07,Female,33,Dallas,Usa,Paid Search,Mainstream
CUST105976,2025-07-20,Female,32,Austin,Usa,Organic Search,Mainstream
CUST103469,2024-06-18,Male,56,Miami,Usa,Paid Search,Budget
CUST105598,2025-05-21,Female,39,Unknown,Usa,Referral,Premium
CUST104998,2025-02-19,Female,38,New York,Usa,Organic Search,Mainstream
CUST106925,2025-12-20,Female,26,Austin,Usa,Paid Search,Mainstream
CUST106947,2025-12-22,Female,40,Miami,Usa,Direct,Premium
CUST102677,2024-02-15,Female,36,Toronto,Canada,Paid Search,Budget
CUST103646,2024-07-17,Female,18,San Diego,Usa,Direct,Mainstream
CUST106850,2025-12-08,Female,25,Nashville,Usa,Social Media,Mainstream
CUST105722,2025-06-09,Female,34,Boston,Usa,Direct,Budget
CUST106248,2025-09-02,Male,22,Nashville,Usa,Organic Search,Premium
CUST104997,2025-02-19,Male,36,Denver,Usa,Paid Search,Mainstream
CUST101643,2023-09-10,Male,47,Phoenix,Usa,Direct,Premium
CUST105736,2025-06-12,Female,49,Nashville,Usa,Social Media,Mainstream
CUST104129,2024-09-26,Male,48,Portland,Usa,Organic Search,Budget
CUST102283,2023-12-15,Male,40,New York,Usa,Referral,Mainstream
CUST104112,2024-09-22,Male,23,Dallas,Usa,Referral,Budget
CUST101201,2023-07-01,Female,42,Minneapolis,Usa,Affiliate,Mainstream
CUST105081,2025-03-05,Female,18,New York,Usa,Organic Search,Mainstream
CUST106262,2025-09-04,Male,49,Toronto,Canada,Organic Search,Mainstream
CUST105571,2025-05-17,Female,36,Houston,Usa,Organic Search,Budget
CUST105372,2025-04-15,Female,45,Chicago,Usa,Social Media,Mainstream
CUST103815,2024-08-07,Female,29,Minneapolis,Usa,Affiliate,Mainstream
CUST104884,2025-01-30,Female,36,Denver,Usa,Referral,Mainstream
CUST103927,2024-08-24,Female,28,San Diego,Usa,Direct,Mainstream
CUST103685,2024-07-22,Female,23,Vancouver,Canada,Affiliate,Mainstream
CUST101871,2023-10-15,Other/Undisclosed,36,Seattle,Usa,Referral,Premium
CUST100080,2023-01-13,Male,40,Seattle,Usa,Email,Premium
CUST106718,2025-11-16,Female,27,Chicago,Usa,Paid Search,Budget
CUST106243,2025-09-01,Male,34,Atlanta,Usa,Referral,Premium
CUST105009,2025-02-21,Male,35,Nashville,Usa,Social Media,Budget
CUST105466,2025-04-30,Female,32,New York,Usa,Paid Search,Premium
CUST100095,2023-01-16,Other/Undisclosed,18,Atlanta,Usa,Email,Budget
CUST104815,2025-01-17,Female,47,Nashville,Usa,Direct,Budget
CUST104857,2025-01-26,Female,43,Boston,Usa,Organic Search,Mainstream
CUST106630,2025-11-01,Male,37,Los Angeles,Usa,Referral,Budget
CUST102543,2024-01-21,Other/Undisclosed,52,Nashville,Usa,Paid Search,Mainstream
CUST104447,2024-11-16,Female,33,Minneapolis,Usa,Organic Search,Mainstream
CUST104054,2024-09-12,Male,22,Vancouver,Canada,Affiliate,Mainstream
CUST104789,2025-01-13,Female,29,Montreal,Canada,Paid Search,Mainstream
CUST104348,2024-10-31,Female,28,Toronto,Canada,Affiliate,Mainstream
CUST101281,2023-07-14,Other/Undisclosed,26,Unknown,Usa,Paid Search,Budget
CUST105848,2025-06-30,Male,53,Denver,Usa,Social Media,Budget
